AssA,DetA,HOTA,IDF1,IDSW,MOTA,accepted_correct,accepted_false,accepted_unknown,component_rejections,method,modality,predicted_boxes,sequence,split,tracker,valid_gt_boxes
95.19592923199454,95.38816295157568,95.29199761736639,97.4822974036192,1,95.31129900076863,1,0,0,0,controlled_cost_reciprocal,ir,1241,M3OT/1/ir/test/1-03T,held_out,ocsort,1301
89.96051114347047,95.38816295157568,92.63459340959189,93.62706530291109,2,95.23443504996156,0,2,0,0,controlled_cost_partial_hungarian,ir,1241,M3OT/1/ir/test/1-03T,held_out,ocsort,1301
93.80810176939875,91.10168365179175,92.31784105436702,99.3050193050193,0,98.61963190184049,0,0,0,0,no_refinement,rgb,1286,M3OT/1/rgb/test/1-03,held_out,bytetrack,1304
93.80810176939875,91.10168365179175,92.31784105436702,99.3050193050193,0,98.61963190184049,0,0,0,0,historical_geometry_first_reciprocal,rgb,1286,M3OT/1/rgb/test/1-03,held_out,bytetrack,1304
93.80810176939875,91.10168365179175,92.31784105436702,99.3050193050193,0,98.61963190184049,0,0,0,0,controlled_cost_greedy,rgb,1286,M3OT/1/rgb/test/1-03,held_out,bytetrack,1304
93.80810176939875,91.10168365179175,92.31784105436702,99.3050193050193,0,98.61963190184049,0,0,0,0,controlled_cost_reciprocal,rgb,1286,M3OT/1/rgb/test/1-03,held_out,bytetrack,1304
93.80810176939875,91.10168365179175,92.31784105436702,99.3050193050193,0,98.61963190184049,0,0,0,0,controlled_cost_partial_hungarian,rgb,1286,M3OT/1/rgb/test/1-03,held_out,bytetrack,1304
95.89923456617828,95.85889570552149,95.87906301439654,97.88566953797964,0,95.85889570552148,0,0,0,0,no_refinement,rgb,1250,M3OT/1/rgb/test/1-03,held_out,ocsort,1304
95.89923456617828,95.85889570552149,95.87906301439654,97.88566953797964,0,95.85889570552148,0,0,0,0,historical_geometry_first_reciprocal,rgb,1250,M3OT/1/rgb/test/1-03,held_out,ocsort,1304
95.89923456617828,95.85889570552149,95.87906301439654,97.88566953797964,0,95.85889570552148,0,0,0,0,controlled_cost_greedy,rgb,1250,M3OT/1/rgb/test/1-03,held_out,ocsort,1304
95.89923456617828,95.85889570552149,95.87906301439654,97.88566953797964,0,95.85889570552148,0,0,0,0,controlled_cost_reciprocal,rgb,1250,M3OT/1/rgb/test/1-03,held_out,ocsort,1304
95.89923456617828,95.85889570552149,95.87906301439654,97.88566953797964,0,95.85889570552148,0,0,0,0,controlled_cost_partial_hungarian,rgb,1250,M3OT/1/rgb/test/1-03,held_out,ocsort,1304
78.47979932173271,85.13564116635533,81.64223058831031,90.0650759219089,3,97.76632302405498,0,0,0,0,no_refinement,ir,1141,M3OT/2/ir/test/2-03T,held_out,bytetrack,1164
67.01376991691687,85.13564116635533,75.42892236212398,80.6941431670282,3,97.76632302405498,0,4,0,0,historical_geometry_first_reciprocal,ir,1141,M3OT/2/ir/test/2-03T,held_out,bytetrack,1164
67.01376991691687,85.13564116635533,75.42892236212398,80.6941431670282,3,97.76632302405498,0,4,0,1,controlled_cost_greedy,ir,1141,M3OT/2/ir/test/2-03T,held_out,bytetrack,1164
67.01376991691687,85.13564116635533,75.42892236212398,80.6941431670282,3,97.76632302405498,0,4,0,0,controlled_cost_reciprocal,ir,1141,M3OT/2/ir/test/2-03T,held_out,bytetrack,1164
