AssA,DetA,HOTA,IDF1,IDSW,MOTA,method,scene_group,stream_count,tracker
91.80242971572373,93.51029201846323,92.57352537602026,97.34581624780893,9,99.53840771851603,regr_final_motion_always,05,4,bytetrack
89.70617679303662,93.51029201846323,91.43133544029781,96.47325349869766,9,99.53840771851603,regr_final_no_gap,05,4,bytetrack
89.70617679303662,93.51029201846323,91.43133544029781,96.47325349869766,9,99.53840771851603,regr_final_no_motion,05,4,bytetrack
89.70617679303662,93.51029201846323,91.43133544029781,96.47325349869766,9,99.53840771851603,regr_final_no_reciprocal,05,4,bytetrack
89.70617679303662,93.51029201846323,91.43133544029781,96.47325349869766,9,99.53840771851603,regr_t,05,4,bytetrack
89.70617679303662,93.51029201846323,91.43133544029781,96.47325349869766,9,99.53840771851603,regr_tg_old,05,4,bytetrack
91.01658111373033,93.51029201846323,92.1541041891894,97.40506433571156,6,99.55451942635705,s2_h_cond_w3_endpoint_c50_r100,05,4,bytetrack
93.60219660110863,98.7178229624471,96.03421198442524,96.38842114215731,11,98.65846326898317,geometry_greedy,05,4,ocsort
94.18924280731187,98.7178229624471,96.35839733975627,96.55657041531853,10,98.66383383826351,geometry_reid_greedy,05,4,ocsort
91.09536618347424,98.7178229624471,94.59248947769849,93.8499095344333,18,98.62086928402077,no_refinement,05,4,ocsort
95.52281102359767,98.7178229624471,97.07791301447624,97.33765091000284,8,98.6745749768242,partial_hungarian_u080,05,4,ocsort
95.52281102359767,98.7178229624471,97.07791301447624,97.33765091000284,8,98.6745749768242,partial_hungarian_u100,05,4,ocsort
94.18924280731187,98.7178229624471,96.35839733975627,96.55657041531853,10,98.66383383826351,regr_final,05,4,ocsort
94.31703586914824,98.7178229624471,96.42834740766571,96.30163442052573,12,98.65309269970282,regr_final_motion_always,05,4,ocsort
94.18924280731187,98.7178229624471,96.35839733975627,96.55657041531853,10,98.66383383826351,regr_final_no_gap,05,4,ocsort
94.18924280731187,98.7178229624471,96.35839733975627,96.55657041531853,10,98.66383383826351,regr_final_no_motion,05,4,ocsort
94.18924280731187,98.7178229624471,96.35839733975627,96.55657041531853,10,98.66383383826351,regr_final_no_reciprocal,05,4,ocsort
94.18924280731187,98.7178229624471,96.35839733975627,96.55657041531853,10,98.66383383826351,regr_t,05,4,ocsort
94.18924280731187,98.7178229624471,96.35839733975627,96.55657041531853,10,98.66383383826351,regr_tg_old,05,4,ocsort
94.18924280731187,98.7178229624471,96.35839733975627,96.55657041531853,10,98.66383383826351,s2_h_cond_w3_endpoint_c50_r100,05,4,ocsort
82.51634658128663,93.54072380174529,87.72610206905571,88.96741597520544,6,99.41291534276021,geometry_greedy,06,4,bytetrack
82.7233330697899,93.54072380174529,87.81847331239601,90.21541189673516,8,99.40258476424782,geometry_reid_greedy,06,4,bytetrack
89.07339995543482,93.54072380174529,91.13931970684668,94.68827668499286,17,99.35688778754762,no_refinement,06,4,bytetrack
87.11749752639889,93.54072380174529,90.19346700509948,92.82419647063251,0,99.44301165094642,partial_hungarian_u080,06,4,bytetrack
86.16775818810402,93.54072380174529,89.70187591781261,92.08370395062843,0,99.44301165094642,partial_hungarian_u100,06,4,bytetrack
87.88064034450288,93.54072380174529,90.51748860992049,94.18970678435835,12,99.38252055879036,regr_final,06,4,bytetrack
89.78648924995765,93.54072380174529,91.51067542609013,95.69214176518935,14,99.37218998027797,regr_final_motion_always,06,4,bytetrack
87.88064034450288,93.54072380174529,90.51748860992049,94.18970678435835,12,99.38252055879036,regr_final_no_gap,06,4,bytetrack
82.22249844153093,93.54072380174529,87.52945829271735,89.82785401471384,8,99.40258476424782,regr_final_no_motion,06,4,bytetrack
87.88064034450288,93.54072380174529,90.51748860992049,94.18970678435835,12,99.38252055879036,regr_final_no_reciprocal,06,4,bytetrack
82.22249844153093,93.54072380174529,87.52945829271735,89.82785401471384,8,99.40258476424782,regr_t,06,4,bytetrack
88.74825980646554,93.54072380174529,91.00378752783433,94.74939208236236,6,99.41261686697655,regr_tg_old,06,4,bytetrack
91.5794272780198,93.54072380174529,92.47752957245396,96.45058993951997,0,99.44301165094642,s2_h_cond_w3_endpoint_c50_r100,06,4,bytetrack
81.36704473405979,98.29822096588771,89.32143147015526,87.07098189685976,17,98.21199230174348,geometry_greedy,06,4,ocsort
82.64370973274873,98.29822096588771,90.0410224372777,87.8314079812879,15,98.22223400596306,geometry_reid_greedy,06,4,ocsort
91.38311849936535,98.29822096588771,94.69974171627346,93.94854967064626,19,98.20181096112292,no_refinement,06,4,ocsort
91.39021469960257,98.29822096588771,94.76924650881948,94.38080106788135,5,98.27269299539037,partial_hungarian_u080,06,4,ocsort
86.97303457628227,98.29822096588771,92.46144207633301,90.33469031350529,5,98.27269299539037,partial_hungarian_u100,06,4,ocsort
90.44587682366083,98.29822096588771,94.19917179675697,93.63893974358707,15,98.22223400596306,regr_final,06,4,ocsort
92.26705469920412,98.29822096588771,95.16609377767053,94.93703170480072,16,98.21706871670686,regr_final_motion_always,06,4,ocsort
90.41603243468931,98.29822096588771,94.18298209886738,93.63893974358707,15,98.22223400596306,regr_final_no_gap,06,4,ocsort
