bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_repeats,bootstrap_seed,improved,max_delta,mean_delta,median_delta,method,metric,min_delta,scope,sequence_count,tracker,unchanged,worsened
-0.06076857231781574,0.0,10000,20260914,0,0.0,-0.029222702477396705,0.0,aflink_official,HOTA,-0.1394487014721939,legacy12,12,bytetrack,9,3
0.0,0.037174721189590976,10000,20260914,1,0.1486988847583639,0.012391573729863659,0.0,aflink_official,IDF1,0.0,legacy12,12,bytetrack,11,0
0.0,0.0,10000,20260914,0,0.0,0.0,0.0,aflink_official,IDSW,0.0,legacy12,12,bytetrack,12,0
0.4817484235194856,2.490136073121708,10000,20260914,7,4.746877003700298,1.4119327025666621,0.45572373399986876,com3d_reciprocal_guard,AssA,-0.21735053623915235,legacy12,12,bytetrack,3,2
0.22590886644125208,1.1107704054107737,10000,20260914,7,2.332877577578845,0.6352297122593912,0.2496056056212197,com3d_reciprocal_guard,HOTA,-0.08446766627687907,legacy12,12,bytetrack,3,2
0.6470950447894577,2.4336589459195523,10000,20260914,8,4.796849829962415,1.4666313467596348,0.8612514697562652,com3d_reciprocal_guard,IDF1,0.0,legacy12,12,bytetrack,4,0
-36.5,-8.333333333333334,10000,20260914,8,0.0,-20.583333333333332,-11.5,com3d_reciprocal_guard,IDSW,-90.0,legacy12,12,bytetrack,4,0
0.6041905579731722,2.595159230639451,10000,20260914,8,4.774067869067075,1.5398495460955512,0.7610319264383572,geometry_greedy,AssA,-0.09786871973841471,legacy12,12,bytetrack,3,1
0.2913052702264425,1.1574531596374775,10000,20260914,8,2.2345552780383464,0.6972412838099858,0.4175252361185926,geometry_greedy,HOTA,-0.025923931350539497,legacy12,12,bytetrack,3,1
0.8191757507480762,2.800656736655297,10000,20260914,8,5.047431537497761,1.740157335191814,1.1299575466475424,geometry_greedy,IDF1,0.0,legacy12,12,bytetrack,4,0
-53.25,-11.416666666666666,10000,20260914,8,0.0,-30.083333333333332,-19.5,geometry_greedy,IDSW,-110.0,legacy12,12,bytetrack,4,0
