accepted_correct,accepted_false,accepted_known,accepted_total,accepted_unknown,all_accepted_coverage,appearance_threshold,eligible_source_tracklets,ground_truth_use,known_link_coverage,known_link_error_rate,known_link_precision,method,protocol,scope,tracker
221,120,341,2671,2330,0.46163152436916693,0.3,5786,post-hoc edge labels only; grid is descriptive and not selected,0.058935361216730035,0.3519061583577713,0.6480938416422287,geometry_reid_greedy_guard,official_detector,all_sequences,ocsort
148,16,164,1517,1353,0.2621845834773591,0.05,5786,post-hoc edge labels only; grid is descriptive and not selected,0.028344279294849638,0.0975609756097561,0.9024390243902439,geometry_reid_hungarian,official_detector,all_sequences,ocsort
199,38,237,2111,1874,0.3648461804355341,0.1,5786,post-hoc edge labels only; grid is descriptive and not selected,0.04096094020048393,0.16033755274261605,0.8396624472573839,geometry_reid_hungarian,official_detector,all_sequences,ocsort
208,65,273,2327,2054,0.40217767023850676,0.15,5786,post-hoc edge labels only; grid is descriptive and not selected,0.047182855167646046,0.23809523809523808,0.7619047619047619,geometry_reid_hungarian,official_detector,all_sequences,ocsort
217,78,295,2472,2177,0.42723816107846524,0.2,5786,post-hoc edge labels only; grid is descriptive and not selected,0.050985136536467336,0.26440677966101694,0.735593220338983,geometry_reid_hungarian,official_detector,all_sequences,ocsort
217,94,311,2562,2251,0.4427929484963706,0.25,5786,post-hoc edge labels only; grid is descriptive and not selected,0.05375043207742827,0.3022508038585209,0.6977491961414791,geometry_reid_hungarian,official_detector,all_sequences,ocsort
217,109,326,2624,2298,0.4535084687175942,0.3,5786,post-hoc edge labels only; grid is descriptive and not selected,0.05634289664707916,0.3343558282208589,0.6656441717791411,geometry_reid_hungarian,official_detector,all_sequences,ocsort
229,121,350,2438,2088,0.19915046561019442,0.05,12242,post-hoc edge labels only; grid is descriptive and not selected,0.028590099656918805,0.3457142857142857,0.6542857142857142,com3d_reciprocal_guard,oracle_aabb,all_sequences,bytetrack
312,190,502,3750,3248,0.30632249632413006,0.1,12242,post-hoc edge labels only; grid is descriptive and not selected,0.04100637150792354,0.3784860557768924,0.6215139442231076,com3d_reciprocal_guard,oracle_aabb,all_sequences,bytetrack
328,218,546,4185,3639,0.34185590589772913,0.15,12242,post-hoc edge labels only; grid is descriptive and not selected,0.044600555464793336,0.3992673992673993,0.6007326007326007,com3d_reciprocal_guard,oracle_aabb,all_sequences,bytetrack
