class_name,component_guard_rejections,family,guard_and_no_guard_outputs_identical,input_duplicate_frame_identity_count,maximum_indegree,maximum_outdegree,proposal_cycle_present,protocol,reciprocal_proposal_count,sequence,strict_time_order_violations,temporal_candidate_count,tracker
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,0,bytetrack
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,0,ocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,0,deepocsort
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,0,bytetrack
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,0,ocsort
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,0,deepocsort
car,0,legacy12,True,0,1,1,False,official_detector,6,data28-2,0,232,bytetrack
car,0,legacy12,True,0,1,1,False,official_detector,29,data28-2,0,1083,ocsort
car,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,6,deepocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,bytetrack
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,ocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,deepocsort
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,bytetrack
pedestrian,0,legacy12,True,0,1,1,False,official_detector,2,data28-2,0,3,ocsort
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,deepocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,bytetrack
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,ocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,deepocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,1,bytetrack
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,ocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,deepocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,bytetrack
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,ocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,0,deepocsort
tricycle,0,legacy12,True,0,1,1,False,official_detector,1,data28-2,0,3,bytetrack
tricycle,0,legacy12,True,0,1,1,False,official_detector,2,data28-2,0,7,ocsort
tricycle,0,legacy12,True,0,1,1,False,official_detector,2,data28-2,0,3,deepocsort
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-2,0,1,bytetrack
awning-bike,0,legacy12,True,0,1,1,False,official_detector,1,data28-2,0,3,ocsort
awning-bike,0,legacy12,True,0,1,1,False,official_detector,1,data28-2,0,3,deepocsort
car,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,1,bytetrack
car,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,3,ocsort
car,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,3,deepocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,bytetrack
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,ocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,deepocsort
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,bytetrack
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,ocsort
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,deepocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,bytetrack
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,ocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,deepocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,bytetrack
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,3,ocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,1,deepocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,8,bytetrack
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,1,ocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,deepocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,bytetrack
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,ocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,deepocsort
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,bytetrack
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,ocsort
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-3,0,0,deepocsort
car,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,13,bytetrack
car,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,ocsort
car,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,19,deepocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,bytetrack
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,ocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,deepocsort
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,bytetrack
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-4,0,0,ocsort
