class_name,duplicate_frame_identity_count,family,geometry_multiset_preserved,protocol,removed_or_rejected_count,rounded_scalar_values,row_delta_from_input,rows,selected_edges,sequence,stage,tracker,unscoped_cross_class_id_reuse_count
pedestrian,0,confirmation38,False,oracle_aabb,1,2,-1,5155,6,data37-1,post_save_roundtrip,deepocsort,
pedestrian,0,confirmation38,True,oracle_aabb,1,0,0,5156,6,data37-1,overlap_safe_adapter,deepocsort,
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,11220,,data37-1,post_class_merge_audit,bytetrack,1108
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,13624,,data37-1,post_class_merge_audit,deepocsort,4418
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,8825,,data37-1,post_class_merge_audit,ocsort,845
car,0,confirmation38,True,oracle_aabb,0,0,0,2996,2,data37-10,input,ocsort,
car,1,confirmation38,True,oracle_aabb,0,0,0,2996,2,data37-10,post_id_remap,ocsort,
car,0,confirmation38,False,oracle_aabb,1,0,-1,2995,2,data37-10,post_native_deduplicate,ocsort,
car,0,confirmation38,False,oracle_aabb,1,2,-1,2995,2,data37-10,post_save_roundtrip,ocsort,
car,0,confirmation38,True,oracle_aabb,1,0,0,2996,2,data37-10,overlap_safe_adapter,ocsort,
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,3828,,data37-10,post_class_merge_audit,bytetrack,255
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,4176,,data37-10,post_class_merge_audit,deepocsort,502
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,3398,,data37-10,post_class_merge_audit,ocsort,264
car,0,confirmation38,True,oracle_aabb,0,0,0,6655,5,data37-11,input,ocsort,
car,1,confirmation38,True,oracle_aabb,0,0,0,6655,5,data37-11,post_id_remap,ocsort,
car,0,confirmation38,False,oracle_aabb,1,0,-1,6654,5,data37-11,post_native_deduplicate,ocsort,
car,0,confirmation38,False,oracle_aabb,1,0,-1,6654,5,data37-11,post_save_roundtrip,ocsort,
car,0,confirmation38,True,oracle_aabb,1,0,0,6655,5,data37-11,overlap_safe_adapter,ocsort,
car,0,confirmation38,True,oracle_aabb,0,0,0,7149,1,data37-11,input,deepocsort,
car,1,confirmation38,True,oracle_aabb,0,0,0,7149,1,data37-11,post_id_remap,deepocsort,
car,0,confirmation38,False,oracle_aabb,1,0,-1,7148,1,data37-11,post_native_deduplicate,deepocsort,
car,0,confirmation38,False,oracle_aabb,1,0,-1,7148,1,data37-11,post_save_roundtrip,deepocsort,
car,0,confirmation38,True,oracle_aabb,1,0,0,7149,1,data37-11,overlap_safe_adapter,deepocsort,
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,8983,,data37-11,post_class_merge_audit,bytetrack,320
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,9972,,data37-11,post_class_merge_audit,deepocsort,493
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,7631,,data37-11,post_class_merge_audit,ocsort,230
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1788,,data37-12,post_class_merge_audit,bytetrack,82
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1870,,data37-12,post_class_merge_audit,deepocsort,124
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1699,,data37-12,post_class_merge_audit,ocsort,71
pedestrian,0,confirmation38,True,oracle_aabb,0,0,0,1695,2,data37-2,input,ocsort,
pedestrian,1,confirmation38,True,oracle_aabb,0,0,0,1695,2,data37-2,post_id_remap,ocsort,
pedestrian,0,confirmation38,False,oracle_aabb,1,0,-1,1694,2,data37-2,post_native_deduplicate,ocsort,
pedestrian,0,confirmation38,False,oracle_aabb,1,2,-1,1694,2,data37-2,post_save_roundtrip,ocsort,
pedestrian,0,confirmation38,True,oracle_aabb,1,0,0,1695,2,data37-2,overlap_safe_adapter,ocsort,
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,4693,,data37-2,post_class_merge_audit,bytetrack,452
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,5214,,data37-2,post_class_merge_audit,deepocsort,819
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,3316,,data37-2,post_class_merge_audit,ocsort,350
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,398,,data39-1,post_class_merge_audit,bytetrack,5
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,473,,data39-1,post_class_merge_audit,deepocsort,41
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,248,,data39-1,post_class_merge_audit,ocsort,4
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,67,,data39-2,post_class_merge_audit,bytetrack,0
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,437,,data39-2,post_class_merge_audit,deepocsort,0
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,46,,data39-2,post_class_merge_audit,ocsort,0
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,321,,data39-3,post_class_merge_audit,bytetrack,0
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1136,,data39-3,post_class_merge_audit,deepocsort,0
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,69,,data39-3,post_class_merge_audit,ocsort,0
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1325,,data39-6,post_class_merge_audit,bytetrack,86
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1871,,data39-6,post_class_merge_audit,deepocsort,284
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1059,,data39-6,post_class_merge_audit,ocsort,51
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,273,,data40-3,post_class_merge_audit,bytetrack,71
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,349,,data40-3,post_class_merge_audit,deepocsort,92
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,217,,data40-3,post_class_merge_audit,ocsort,63
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,506,,data40-4,post_class_merge_audit,bytetrack,1
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,2586,,data40-4,post_class_merge_audit,deepocsort,8
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,250,,data40-4,post_class_merge_audit,ocsort,0
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,2457,,data40-5,post_class_merge_audit,bytetrack,343
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,3054,,data40-5,post_class_merge_audit,deepocsort,521
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,2096,,data40-5,post_class_merge_audit,ocsort,323
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,145,,data41-1,post_class_merge_audit,bytetrack,3
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,137,,data41-1,post_class_merge_audit,deepocsort,5
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,108,,data41-1,post_class_merge_audit,ocsort,5
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,4817,,data42-1,post_class_merge_audit,bytetrack,84
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,4624,,data42-1,post_class_merge_audit,deepocsort,91
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,3920,,data42-1,post_class_merge_audit,ocsort,80
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,992,,data42-2,post_class_merge_audit,bytetrack,30
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1543,,data42-2,post_class_merge_audit,deepocsort,141
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,787,,data42-2,post_class_merge_audit,ocsort,31
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1202,,data42-3,post_class_merge_audit,bytetrack,110
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1243,,data42-3,post_class_merge_audit,deepocsort,242
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1064,,data42-3,post_class_merge_audit,ocsort,103
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,6146,,data46-11,post_class_merge_audit,bytetrack,667
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,7260,,data46-11,post_class_merge_audit,deepocsort,4210
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,4940,,data46-11,post_class_merge_audit,ocsort,459
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,3984,,data46-12,post_class_merge_audit,bytetrack,1321
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,4459,,data46-12,post_class_merge_audit,deepocsort,2412
