aflink_model_scoring_included,aflink_selected_edge_count,candidate_build_ms,class_name,descriptor_extraction_included,family,fixed_gated_edge_count,hungarian_dense_matrix_bytes,method,protocol,repeat_count,sequence,solver_ms_max,solver_ms_mean,solver_ms_median,solver_ms_min,temporal_candidate_count,tracemalloc_peak_bytes,tracker,tracklet_count
False,0,0.002291,van,False,confirmation38,0,0,geometry_reid_hungarian,official_detector,5,data39-2,0.003319,0.002489,0.002339,0.002117,0,680,deepocsort,0
False,0,0.002291,van,False,confirmation38,0,0,controlled_cost_greedy,official_detector,5,data39-2,0.002081,0.0019692,0.001965,0.001813,0,680,deepocsort,0
False,0,0.002291,van,False,confirmation38,0,0,controlled_cost_reciprocal,official_detector,5,data39-2,0.003091,0.0029162,0.002908,0.002713,0,808,deepocsort,0
False,0,0.002291,van,False,confirmation38,0,0,aflink_cached_no_dedup,official_detector,5,data39-2,0.001192,0.0010329999999999998,0.001029,0.000906,0,304,deepocsort,0
False,0,0.002291,van,False,confirmation38,0,0,aflink_cached_overlap_safe,official_detector,5,data39-2,0.001879,0.0017475999999999998,0.001748,0.001659,0,680,deepocsort,0
False,0,0.002241,truck,False,confirmation38,0,0,geometry_greedy,official_detector,5,data39-2,0.00238,0.002083,0.001996,0.00185,0,680,bytetrack,0
False,0,0.002241,truck,False,confirmation38,0,0,geometry_reid_greedy_guard,official_detector,5,data39-2,0.00225,0.002035,0.002053,0.00184,0,680,bytetrack,0
False,0,0.002241,truck,False,confirmation38,0,0,com3d_reciprocal_guard,official_detector,5,data39-2,0.003426,0.003022,0.003009,0.002762,0,704,bytetrack,0
False,0,0.002241,truck,False,confirmation38,0,0,geometry_reid_hungarian,official_detector,5,data39-2,0.002541,0.0024432,0.002465,0.002223,0,680,bytetrack,0
False,0,0.002241,truck,False,confirmation38,0,0,controlled_cost_greedy,official_detector,5,data39-2,0.002214,0.0019442,0.001902,0.001728,0,680,bytetrack,0
False,0,0.002241,truck,False,confirmation38,0,0,controlled_cost_reciprocal,official_detector,5,data39-2,0.00288,0.0027144,0.002681,0.002576,0,808,bytetrack,0
False,0,0.002241,truck,False,confirmation38,0,0,aflink_cached_no_dedup,official_detector,5,data39-2,0.001212,0.001019,0.001011,0.000876,0,304,bytetrack,0
False,0,0.002241,truck,False,confirmation38,0,0,aflink_cached_overlap_safe,official_detector,5,data39-2,0.001855,0.0016412,0.001624,0.001524,0,680,bytetrack,0
False,0,0.002221,truck,False,confirmation38,0,0,geometry_greedy,official_detector,5,data39-2,0.002273,0.0019056,0.001781,0.001761,0,680,ocsort,0
False,0,0.002221,truck,False,confirmation38,0,0,geometry_reid_greedy_guard,official_detector,5,data39-2,0.0021,0.001899,0.001851,0.001734,0,680,ocsort,0
False,0,0.002221,truck,False,confirmation38,0,0,com3d_reciprocal_guard,official_detector,5,data39-2,0.003513,0.0029676,0.002822,0.002702,0,704,ocsort,0
False,0,0.002221,truck,False,confirmation38,0,0,geometry_reid_hungarian,official_detector,5,data39-2,0.003,0.0023756,0.002255,0.002075,0,680,ocsort,0
False,0,0.002221,truck,False,confirmation38,0,0,controlled_cost_greedy,official_detector,5,data39-2,0.001959,0.001889,0.001872,0.001807,0,680,ocsort,0
False,0,0.002221,truck,False,confirmation38,0,0,controlled_cost_reciprocal,official_detector,5,data39-2,0.004057,0.0031076,0.00293,0.002644,0,808,ocsort,0
False,0,0.002221,truck,False,confirmation38,0,0,aflink_cached_no_dedup,official_detector,5,data39-2,0.001184,0.0009889999999999999,0.000987,0.000864,0,304,ocsort,0
False,0,0.002221,truck,False,confirmation38,0,0,aflink_cached_overlap_safe,official_detector,5,data39-2,0.001765,0.0016458,0.001632,0.001554,0,680,ocsort,0
False,0,0.002231,truck,False,confirmation38,0,0,geometry_greedy,official_detector,5,data39-2,0.002167,0.0018938,0.001796,0.001789,0,680,deepocsort,0
False,0,0.002231,truck,False,confirmation38,0,0,geometry_reid_greedy_guard,official_detector,5,data39-2,0.002128,0.0019456,0.001962,0.001779,0,680,deepocsort,0
False,0,0.002231,truck,False,confirmation38,0,0,com3d_reciprocal_guard,official_detector,5,data39-2,0.003398,0.0029798000000000003,0.002873,0.002782,0,704,deepocsort,0
False,0,0.002231,truck,False,confirmation38,0,0,geometry_reid_hungarian,official_detector,5,data39-2,0.003026,0.0024968,0.002401,0.002244,0,680,deepocsort,0
False,0,0.002231,truck,False,confirmation38,0,0,controlled_cost_greedy,official_detector,5,data39-2,0.002061,0.0018467999999999998,0.001837,0.001732,0,680,deepocsort,0
False,0,0.002231,truck,False,confirmation38,0,0,controlled_cost_reciprocal,official_detector,5,data39-2,0.002776,0.0027008,0.00272,0.002614,0,808,deepocsort,0
False,0,0.002231,truck,False,confirmation38,0,0,aflink_cached_no_dedup,official_detector,5,data39-2,0.00112,0.0009886,0.000976,0.000918,0,304,deepocsort,0
False,0,0.002231,truck,False,confirmation38,0,0,aflink_cached_overlap_safe,official_detector,5,data39-2,0.001673,0.0015712,0.001538,0.001503,0,680,deepocsort,0
False,0,0.002229,bus,False,confirmation38,0,0,geometry_greedy,official_detector,5,data39-2,0.002144,0.0019364,0.001886,0.001785,0,680,bytetrack,0
False,0,0.002229,bus,False,confirmation38,0,0,geometry_reid_greedy_guard,official_detector,5,data39-2,0.002126,0.0019528,0.001947,0.001847,0,680,bytetrack,0
False,0,0.002229,bus,False,confirmation38,0,0,com3d_reciprocal_guard,official_detector,5,data39-2,0.003962,0.0031476000000000004,0.002951,0.00283,0,704,bytetrack,0
False,0,0.002229,bus,False,confirmation38,0,0,geometry_reid_hungarian,official_detector,5,data39-2,0.002583,0.002392,0.002418,0.002224,0,680,bytetrack,0
False,0,0.002229,bus,False,confirmation38,0,0,controlled_cost_greedy,official_detector,5,data39-2,0.002358,0.0020128,0.001965,0.001823,0,680,bytetrack,0
False,0,0.002229,bus,False,confirmation38,0,0,controlled_cost_reciprocal,official_detector,5,data39-2,0.002964,0.0028894,0.002927,0.002765,0,808,bytetrack,0
False,0,0.002229,bus,False,confirmation38,0,0,aflink_cached_no_dedup,official_detector,5,data39-2,0.001083,0.0009804,0.00096,0.000897,0,304,bytetrack,0
False,0,0.002229,bus,False,confirmation38,0,0,aflink_cached_overlap_safe,official_detector,5,data39-2,0.00183,0.0016920000000000001,0.001687,0.001601,0,680,bytetrack,0
False,0,0.002663,bus,False,confirmation38,0,0,geometry_greedy,official_detector,5,data39-2,0.002341,0.0020174,0.001926,0.001836,0,680,ocsort,0
False,0,0.002663,bus,False,confirmation38,0,0,geometry_reid_greedy_guard,official_detector,5,data39-2,0.002185,0.0020369999999999997,0.002004,0.001952,0,680,ocsort,0
False,0,0.002663,bus,False,confirmation38,0,0,com3d_reciprocal_guard,official_detector,5,data39-2,0.003691,0.0032244,0.003176,0.002985,0,704,ocsort,0
