AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_unknown,box_preserving,class_instances,duplicate_frame_identity_count,duplicate_free,eligible_source_tracklets,family,input_rows,method,output_rows,predicted_boxes,protocol,sequence,tracker,valid_common_box_protocol,valid_gt_boxes
74.74544671816803,40.16742711177114,1781,185,86,54.12733623990981,64.77433004231312,6,45.7347275729224,1853,0,0,10,True,8,0,True,86,legacy12,2038,geometry_reid_greedy_guard,2038,2038,official_detector,data30-9,deepocsort,True,3634
74.61727406957101,40.16742711177114,1781,185,86,54.077009451093815,64.66854724964739,7,45.70720968629609,1853,0,0,10,True,8,0,True,86,legacy12,2038,geometry_reid_hungarian,2038,2038,official_detector,data30-9,deepocsort,True,3634
74.63380869512628,40.16742711177114,1781,185,86,54.08131299594031,64.70380818053597,10,45.62465602641717,1853,0,0,0,True,8,0,True,86,legacy12,2038,no_refinement,2038,2038,official_detector,data30-9,deepocsort,True,3634
72.6332864112761,26.253457198097724,2531,122,26,43.478030659029685,40.37867874048158,100,24.243258117776556,1103,0,0,0,True,8,0,True,165,legacy12,1225,aflink_cached_native_dedup,1225,1225,official_detector,data30-9,ocsort,True,3634
72.63319853778131,26.25343572502341,2531,122,26,43.478031606846095,40.37867874048158,100,24.243258117776556,1103,0,0,0,False,8,0,True,165,legacy12,1225,aflink_cached_native_saved,1225,1225,official_detector,data30-9,ocsort,False,3634
72.6332864112761,26.253457198097724,2531,122,26,43.478030659029685,40.37867874048158,100,24.243258117776556,1103,0,0,0,True,8,0,True,165,legacy12,1225,aflink_cached_no_dedup,1225,1225,official_detector,data30-9,ocsort,True,3634
72.6332864112761,26.253457198097724,2531,122,26,43.478030659029685,40.37867874048158,100,24.243258117776556,1103,0,0,0,True,8,0,True,165,legacy12,1225,aflink_cached_overlap_safe,1225,1225,official_detector,data30-9,ocsort,True,3634
73.4081963629709,26.253457198097724,2531,122,26,43.72081554010805,42.395554640872604,59,25.371491469455147,1103,0,0,76,True,8,0,True,165,legacy12,1225,com3d_reciprocal_guard,1225,1225,official_detector,data30-9,ocsort,True,3634
73.8291059631544,26.253457198097724,2531,122,26,43.852216420497534,43.63037662070385,26,26.27958172812328,1103,0,0,98,True,8,0,True,165,legacy12,1225,controlled_cost_greedy,1225,1225,official_detector,data30-9,ocsort,True,3634
73.76511935120634,26.253457198097724,2531,122,26,43.83215029245516,43.424572957398645,31,26.141992294991745,1103,0,0,87,True,8,0,True,165,legacy12,1225,controlled_cost_reciprocal,1225,1225,official_detector,data30-9,ocsort,True,3634
73.41695580998385,26.24798642169913,2531,122,26,43.71937884298719,42.601358304177815,51,25.591634562465604,1103,0,0,100,True,8,0,True,165,legacy12,1225,geometry_greedy,1225,1225,official_detector,data30-9,ocsort,True,3634
73.71993503927948,26.253457198097724,2531,122,26,43.8193688012454,43.58921588804281,28,26.224545954870663,1103,0,0,97,True,8,0,True,165,legacy12,1225,geometry_reid_greedy_guard,1225,1225,official_detector,data30-9,ocsort,True,3634
73.76570337476865,26.253457198097724,2531,122,26,43.83390694228903,43.71269808602593,24,26.334617501375895,1103,0,0,98,True,8,0,True,165,legacy12,1225,geometry_reid_hungarian,1225,1225,official_detector,data30-9,ocsort,True,3634
72.6332864112761,26.253457198097724,2531,122,26,43.478030659029685,40.37867874048158,100,24.243258117776556,1103,0,0,0,True,8,0,True,165,legacy12,1225,no_refinement,1225,1225,official_detector,data30-9,ocsort,True,3634
