AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_unknown,aggregation,all_accepted_coverage,eligible_source_tracklets,input_rows,invalid_sequences,known_link_coverage,known_link_error_rate,method,output_rows,predicted_boxes,protocol,scope,sequence_count,tracker,valid_common_box_protocol,valid_gt_boxes
46.686733824410105,46.24604555811039,73372,310,13455,45.40956883157397,50.3000083290276,16710,47.79142783936156,122822,369,281,4226,equal_sequence_mean_metrics_total_counts,0.39830093122038884,12242,123132,0,0.05309589936284921,0.4323076923076923,controlled_cost_reciprocal,123132,123132,oracle_aabb,all_sequences,50,bytetrack,True,196194
46.96597065414651,46.2437894738155,73372,310,13455,45.59671276856722,51.018104083879194,15484,48.320768458456875,122822,409,559,6268,equal_sequence_mean_metrics_total_counts,0.5910798889070413,12242,123132,0,0.07907204705113544,0.5774793388429752,geometry_greedy,123132,123132,oracle_aabb,all_sequences,50,bytetrack,True,196194
47.466184050116524,46.23536898152984,73372,310,13455,45.888524526360634,51.79997447203956,15064,48.51347501730808,122822,504,583,6155,equal_sequence_mean_metrics_total_counts,0.59157000490116,12242,123132,0,0.08879268093448783,0.5363385464581417,geometry_reid_greedy_guard,123132,123132,oracle_aabb,all_sequences,50,bytetrack,True,196194
46.904686752703626,46.243721861087934,73372,310,13455,45.54777299126555,50.78353107074298,16462,47.9480551624101,122822,417,468,5721,equal_sequence_mean_metrics_total_counts,0.5396177095245875,12242,123132,0,0.07229210913249469,0.5288135593220339,geometry_reid_hungarian,123132,123132,oracle_aabb,all_sequences,50,bytetrack,True,196194
44.68986006506537,46.25335948027518,73372,310,13455,44.1960817531848,47.43747380136743,20056,46.124629032135296,122822,0,0,0,equal_sequence_mean_metrics_total_counts,0.0,12242,123132,0,0.0,,no_refinement,123132,123132,oracle_aabb,all_sequences,50,bytetrack,True,196194
82.46680271053323,81.59998042053321,22134,0,2155,81.5366242353033,81.92412700825582,1919,80.29139140615527,174060,45,70,0,equal_sequence_mean_metrics_total_counts,0.03177673390439348,3619,174064,4,0.03177673390439348,0.6086956521739131,aflink_cached_native_dedup,174060,174060,oracle_aabb,all_sequences,50,deepocsort,False,196194
82.46680271053323,81.59998042053321,22134,0,2155,81.5366242353033,81.92412700825582,1919,80.29139140615527,174060,45,70,0,equal_sequence_mean_metrics_total_counts,0.03177673390439348,3619,174064,28,0.03177673390439348,0.6086956521739131,aflink_cached_native_saved,174060,174060,oracle_aabb,all_sequences,50,deepocsort,False,196194
82.46627608621786,81.6009396770247,22130,0,2155,81.53682666288755,81.92412700825582,1919,80.29235071690916,174064,45,70,0,equal_sequence_mean_metrics_total_counts,0.03177673390439348,3619,174064,4,0.03177673390439348,0.6086956521739131,aflink_cached_no_dedup,174064,174064,oracle_aabb,all_sequences,50,deepocsort,False,196194
82.48213458559117,81.6009396770247,22130,0,2155,81.54485723780357,81.93252715746323,1919,80.29235071690916,174064,45,66,0,equal_sequence_mean_metrics_total_counts,0.030671456203371097,3619,174064,0,0.030671456203371097,0.5945945945945946,aflink_cached_overlap_safe,174064,174064,oracle_aabb,all_sequences,50,deepocsort,True,196194
84.53797796291823,81.59961443625225,22130,0,2155,82.59626253428775,83.67010459435745,1377,80.80441868738946,174064,575,371,0,equal_sequence_mean_metrics_total_counts,0.2613981762917933,3619,174064,0,0.2613981762917933,0.39217758985200846,com3d_reciprocal_guard,174064,174064,oracle_aabb,all_sequences,50,deepocsort,True,196194
