dataset,metric,baseline_method,baseline_detector_family,baseline_model_version,baseline_yolo_version,baseline_model_scale,baseline_param_size_group,baseline_size_group,candidate_method,candidate_detector_family,candidate_model_version,candidate_yolo_version,candidate_model_scale,candidate_param_size_group,candidate_size_group,paired_seeds,seed_count,analysis_level,baseline_mean,candidate_mean,delta_candidate_minus_baseline,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv12s,YOLO,v12,v12,small,small,small,42,1,insufficient_for_pvalue,0.6349652097902098,0.5774852867094472,-0.05747992308076255,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv26m,YOLO,v26,v26,medium,medium,medium,42,1,insufficient_for_pvalue,0.6349652097902098,0.6106248054126229,-0.02434040437758689,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv26n,YOLO,v26,v26,nano,nano,nano,42,1,insufficient_for_pvalue,0.6349652097902098,0.5131214528955363,-0.12184375689467342,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv26s,YOLO,v26,v26,small,small,small,42,1,insufficient_for_pvalue,0.6349652097902098,0.5652579567597008,-0.06970725303050895,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv5lu,YOLO,v5,v5,large,large,large,42,1,insufficient_for_pvalue,0.6349652097902098,0.613256470130817,-0.021708739659392795,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv5mu,YOLO,v5,v5,medium,medium,medium,42,1,insufficient_for_pvalue,0.6349652097902098,0.5975454140164362,-0.03741979577377352,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv5nu,YOLO,v5,v5,nano,nano,nano,42,1,insufficient_for_pvalue,0.6349652097902098,0.510538084251785,-0.12442712553842472,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv5su,YOLO,v5,v5,small,small,small,42,1,insufficient_for_pvalue,0.6349652097902098,0.5704835177374046,-0.06448169205280518,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv8l,YOLO,v8,v8,large,large,large,42,1,insufficient_for_pvalue,0.6349652097902098,0.619476682486529,-0.015488527303680777,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv8m,YOLO,v8,v8,medium,medium,medium,42,1,insufficient_for_pvalue,0.6349652097902098,0.6055481416146828,-0.029417068175526917,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv8n,YOLO,v8,v8,nano,nano,nano,42,1,insufficient_for_pvalue,0.6349652097902098,0.5228165938384901,-0.11214861595171965,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv8s,YOLO,v8,v8,small,small,small,42,1,insufficient_for_pvalue,0.6349652097902098,0.5771688401544401,-0.05779636963576962,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv9m,YOLO,v9,v9,medium,medium,medium,42,1,insufficient_for_pvalue,0.6349652097902098,0.6226241004464821,-0.012341109343727674,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv9s,YOLO,v9,v9,small,small,small,42,1,insufficient_for_pvalue,0.6349652097902098,0.5871648168857057,-0.04780039290450411,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,yolov9c,Other,unknown,,unknown,medium,medium,42,1,insufficient_for_pvalue,0.6349652097902098,0.6213880378447724,-0.013577171945437394,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,yolov9t,Other,unknown,,unknown,nano,nano,42,1,insufficient_for_pvalue,0.6349652097902098,0.5401942156187116,-0.09477099417149815,,,,
