updated_at,scenario,step,status,artifact,note
"2026-06-25T02:04:26+09:00","S2","detector","started","outputs/evidence/uavmarine_s2_viewer160_recapture_detector_smoke_conf005","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T02:04:28+09:00","S2","detector","failed","outputs/evidence/uavmarine_s2_viewer160_recapture_detector_smoke_conf005","Detector smoke script failed"
"2026-06-25T02:06:25+09:00","S0","capture","skipped_existing","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_recapture/real_cesium_capture_summary.json","FORCE_RECAPTURE=1 to regenerate"
"2026-06-25T02:06:32+09:00","S0","detector","started","outputs/evidence/uavmarine_s0_viewer160_recapture_detector_smoke_conf005","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T02:06:40+09:00","S0","detector","ok","outputs/evidence/uavmarine_s0_viewer160_recapture_detector_smoke_conf005/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-25T02:06:47+09:00","S0","reasoner","started","outputs/reasoning/uavmarine_s0_viewer160_recapture_from_detector_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-25T02:06:49+09:00","S0","reasoner","ok","outputs/reasoning/uavmarine_s0_viewer160_recapture_from_detector_mock/summary.json","Reasoner output generated"
"2026-06-25T02:06:57+09:00","S1","capture","skipped_existing","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_recapture/real_cesium_capture_summary.json","FORCE_RECAPTURE=1 to regenerate"
"2026-06-25T02:07:05+09:00","S1","detector","started","outputs/evidence/uavmarine_s1_viewer160_recapture_detector_smoke_conf005","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T02:07:14+09:00","S1","detector","ok","outputs/evidence/uavmarine_s1_viewer160_recapture_detector_smoke_conf005/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-25T02:07:21+09:00","S1","reasoner","started","outputs/reasoning/uavmarine_s1_viewer160_recapture_from_detector_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-25T02:07:23+09:00","S1","reasoner","ok","outputs/reasoning/uavmarine_s1_viewer160_recapture_from_detector_mock/summary.json","Reasoner output generated"
"2026-06-25T02:07:30+09:00","S2","capture","skipped_existing","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_recapture/real_cesium_capture_summary.json","FORCE_RECAPTURE=1 to regenerate"
"2026-06-25T02:07:37+09:00","S2","detector","started","outputs/evidence/uavmarine_s2_viewer160_recapture_detector_smoke_conf005","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T02:07:45+09:00","S2","detector","ok","outputs/evidence/uavmarine_s2_viewer160_recapture_detector_smoke_conf005/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-25T02:07:52+09:00","S2","reasoner","started","outputs/reasoning/uavmarine_s2_viewer160_recapture_from_detector_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-25T02:07:54+09:00","S2","reasoner","ok","outputs/reasoning/uavmarine_s2_viewer160_recapture_from_detector_mock/summary.json","Reasoner output generated"
"2026-06-25T08:50:15+09:00","S0","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture","viewer160 real Cesium capture"
"2026-06-25T08:52:17+09:00","S0","capture","ok","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture_summary.json","real Cesium viewer160 capture complete"
"2026-06-25T08:52:24+09:00","S0","detector","started","outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001","P2P4-SelfAttnFR EvidenceToken extraction"
