protocol,family,sequence,tracker,method,metric,stored_value,rerun_value,absolute_difference,passed
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,TP,2992.0,2992.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,Frag,36.0,36.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,accepted_correct,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,accepted_false,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,accepted_unknown,2.0,2.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,eligible_source_tracklets,46.0,46.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,input_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,output_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,predicted_boxes,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,HOTA,72.38223864903833,72.38223864903833,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,AssA,81.45639407826081,81.45639407826081,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,DetA,64.37387562275049,64.37387562275049,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,IDF1,84.68314862176754,84.68314862176754,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,MOTA,73.19717599596571,73.19717599596571,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,IDSW,9.0,9.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,FP,80.0,80.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,FN,974.0,974.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,TP,2992.0,2992.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,Frag,36.0,36.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,accepted_correct,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,accepted_false,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,accepted_unknown,2.0,2.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,eligible_source_tracklets,46.0,46.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,input_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,output_rows,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_greedy,predicted_boxes,3072.0,3072.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,HOTA,72.38223864903833,72.38223864903833,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,AssA,81.45639407826081,81.45639407826081,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,DetA,64.37387562275049,64.37387562275049,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,IDF1,84.68314862176754,84.68314862176754,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,MOTA,73.19717599596571,73.19717599596571,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,IDSW,9.0,9.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,FP,80.0,80.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,FN,974.0,974.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,TP,2992.0,2992.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,Frag,36.0,36.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,accepted_correct,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,controlled_cost_reciprocal,accepted_false,0.0,0.0,0.0,True
