accepted_correct,accepted_false,accepted_link_error_rate,accepted_link_precision,accepted_unknown,all_accepted_coverage,eligible_source_tracklets,known_link_coverage,method,parameter,scope,threshold,tracker,valid_output
2379,581,0.19628378378378378,0.8037162162162163,0,0.4384535624351948,6751,0.4384535624351948,geometry_reid_hungarian,appearance_cosine,all_sequences,0.15,ocsort,True
2448,704,0.2233502538071066,0.7766497461928934,0,0.4668937935120723,6751,0.4668937935120723,geometry_reid_hungarian,appearance_cosine,all_sequences,0.2,ocsort,True
2472,795,0.2433425160697888,0.7566574839302111,0,0.4839283069174937,6751,0.4839283069174937,geometry_reid_hungarian,appearance_cosine,all_sequences,0.25,ocsort,True
2489,856,0.25590433482810165,0.7440956651718984,0,0.4954821507924752,6751,0.4954821507924752,geometry_reid_hungarian,appearance_cosine,all_sequences,0.3,ocsort,True
16,4,0.2,0.8,0,0.0029625240705080727,6751,0.0029625240705080727,aflink_official,aflink_cost,all_sequences,0.01,ocsort,False
22,9,0.2903225806451613,0.7096774193548387,0,0.004591912309287513,6751,0.004591912309287513,aflink_official,aflink_cost,all_sequences,0.025,ocsort,False
39,28,0.417910447761194,0.582089552238806,0,0.009924455636202045,6751,0.009924455636202045,aflink_official,aflink_cost,all_sequences,0.05,ocsort,False
67,65,0.49242424242424243,0.5075757575757576,0,0.019552658865353283,6751,0.019552658865353283,aflink_official,aflink_cost,all_sequences,0.1,ocsort,False
106,109,0.5069767441860465,0.4930232558139535,0,0.03184713375796178,6751,0.03184713375796178,aflink_official,aflink_cost,all_sequences,0.2,ocsort,False
168,194,0.5359116022099447,0.46408839779005523,0,0.05362168567619612,6751,0.05362168567619612,aflink_official,aflink_cost,all_sequences,0.4,ocsort,False
345,112,0.24507658643326038,0.7549234135667396,0,0.12627797734180712,3619,0.12627797734180712,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.05,deepocsort,True
535,201,0.27309782608695654,0.7269021739130435,0,0.20337109698811826,3619,0.20337109698811826,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.1,deepocsort,True
580,278,0.32400932400932403,0.675990675990676,0,0.23708206686930092,3619,0.23708206686930092,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.15,deepocsort,True
597,309,0.34105960264900664,0.6589403973509934,0,0.2503453992815695,3619,0.2503453992815695,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.2,deepocsort,True
585,350,0.37433155080213903,0.6256684491978609,0,0.25835866261398177,3619,0.25835866261398177,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.25,deepocsort,True
575,371,0.39217758985200846,0.6078224101479915,0,0.2613981762917933,3619,0.2613981762917933,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.3,deepocsort,True
