AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,aggregation,invalid_sequences,method,parameter,predicted_boxes,scope,sequence_count,threshold,tracker,valid_gt_boxes,valid_output
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,2,aflink_official,aflink_cost,,confirmation38,38,0.025,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,2,aflink_official,aflink_cost,,all_sequences,50,0.025,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,legacy12,12,0.05,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,3,aflink_official,aflink_cost,,confirmation38,38,0.05,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,4,aflink_official,aflink_cost,,all_sequences,50,0.05,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,legacy12,12,0.1,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,4,aflink_official,aflink_cost,,confirmation38,38,0.1,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,5,aflink_official,aflink_cost,,all_sequences,50,0.1,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,legacy12,12,0.2,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,5,aflink_official,aflink_cost,,confirmation38,38,0.2,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,6,aflink_official,aflink_cost,,all_sequences,50,0.2,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,legacy12,12,0.4,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,6,aflink_official,aflink_cost,,confirmation38,38,0.4,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,7,aflink_official,aflink_cost,,all_sequences,50,0.4,deepocsort,,False
78.34127676154031,67.1069007003687,3851,0,283,71.38962874642048,71.2163553358978,235,65.57618319738937,26815,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,26815,legacy12,12,0.05,deepocsort,30666,True
85.37137722589523,86.17862787320914,18279,0,1872,85.57039568973107,86.47429503578755,1386,85.30313374851562,147249,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,147249,confirmation38,38,0.05,deepocsort,165528,True
83.68415311445005,81.60141335172744,22130,0,2155,82.16701162333653,82.812389507814,1621,80.56866561624531,174064,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,174064,all_sequences,50,0.05,deepocsort,196194,True
78.7633469264413,67.1069007003687,3851,0,283,71.59259469423255,71.64722403873101,192,65.88723213418183,26815,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,26815,legacy12,12,0.1,deepocsort,30666,True
