dataset,split,protocol,data_role,input,sequence,tracker,method,internal_method,parent_method,IDF1,delta_IDF1_vs_None,delta_IDF1_vs_parent,AssA,delta_AssA_vs_None,delta_AssA_vs_parent,IDSW,delta_IDSW_vs_None,delta_IDSW_vs_parent
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/test/1-03,ocsort,P-G,path_g,None,97.88566953797964,0.0,0.0,95.89923456617828,0.0,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/test/1-03,ocsort,P-G+V,path_g_full_reassign,P-G,97.88566953797964,0.0,0.0,95.89923456617828,0.0,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/test/2-03T,bytetrack,None,no_refinement,None,90.0650759219089,0.0,0.0,78.47979932173271,0.0,0.0,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/test/2-03T,bytetrack,v1,ace_v1,None,80.6941431670282,-9.370932754880698,-9.370932754880698,67.01376991691687,-11.466029404815842,-11.466029404815842,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/test/2-03T,bytetrack,H,cost_h,None,80.6941431670282,-9.370932754880698,-9.370932754880698,67.01376991691687,-11.466029404815842,-11.466029404815842,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/test/2-03T,bytetrack,H+V,cost_h_full_reassign,H,80.6941431670282,-9.370932754880698,0.0,67.01376991691687,-11.466029404815842,0.0,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/test/2-03T,bytetrack,P-G,path_g,None,80.6941431670282,-9.370932754880698,-9.370932754880698,67.01376991691687,-11.466029404815842,-11.466029404815842,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/test/2-03T,bytetrack,P-G+V,path_g_full_reassign,P-G,80.6941431670282,-9.370932754880698,0.0,67.01376991691687,-11.466029404815842,0.0,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/test/2-03T,ocsort,None,no_refinement,None,88.70255957634599,0.0,0.0,84.78442921071648,0.0,0.0,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/test/2-03T,ocsort,v1,ace_v1,None,86.49602824360106,-2.2065313327449303,-2.2065313327449303,81.64731217941753,-3.1371170312989562,-3.1371170312989562,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/test/2-03T,ocsort,H,cost_h,None,86.49602824360106,-2.2065313327449303,-2.2065313327449303,81.64731217941753,-3.1371170312989562,-3.1371170312989562,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/test/2-03T,ocsort,H+V,cost_h_full_reassign,H,86.49602824360106,-2.2065313327449303,0.0,81.64731217941753,-3.1371170312989562,0.0,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/test/2-03T,ocsort,P-G,path_g,None,86.49602824360106,-2.2065313327449303,-2.2065313327449303,81.64731217941753,-3.1371170312989562,-3.1371170312989562,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/test/2-03T,ocsort,P-G+V,path_g_full_reassign,P-G,86.49602824360106,-2.2065313327449303,0.0,81.64731217941753,-3.1371170312989562,0.0,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/test/2-03,bytetrack,None,no_refinement,None,99.2675570874623,0.0,0.0,93.90163417070467,0.0,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/test/2-03,bytetrack,v1,ace_v1,None,95.8207669108143,-3.446790176647994,-3.446790176647994,89.36293224612128,-4.538701924583393,-4.538701924583393,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/test/2-03,bytetrack,H,cost_h,None,95.8207669108143,-3.446790176647994,-3.446790176647994,89.36293224612128,-4.538701924583393,-4.538701924583393,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/test/2-03,bytetrack,H+V,cost_h_full_reassign,H,95.8207669108143,-3.446790176647994,0.0,89.36293224612128,-4.538701924583393,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/test/2-03,bytetrack,P-G,path_g,None,95.8207669108143,-3.446790176647994,-3.446790176647994,89.36293224612128,-4.538701924583393,-4.538701924583393,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/test/2-03,bytetrack,P-G+V,path_g_full_reassign,P-G,95.8207669108143,-3.446790176647994,0.0,89.36293224612128,-4.538701924583393,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/test/2-03,ocsort,None,no_refinement,None,97.8146853146853,0.0,0.0,95.77428452952107,0.0,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/test/2-03,ocsort,v1,ace_v1,None,97.8146853146853,0.0,0.0,95.77428452952107,0.0,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/test/2-03,ocsort,H,cost_h,None,97.8146853146853,0.0,0.0,95.77428452952107,0.0,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/test/2-03,ocsort,H+V,cost_h_full_reassign,H,97.8146853146853,0.0,0.0,95.77428452952107,0.0,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/test/2-03,ocsort,P-G,path_g,None,97.8146853146853,0.0,0.0,95.77428452952107,0.0,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/test/2-03,ocsort,P-G+V,path_g_full_reassign,P-G,97.8146853146853,0.0,0.0,95.77428452952107,0.0,0.0,0,0,0
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,bytetrack,None,no_refinement,None,72.84462886122637,0.0,0.0,64.23653677547047,0.0,0.0,21,0,0
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,bytetrack,v1,ace_v1,None,73.21346242508068,0.36883356385430943,0.36883356385430943,64.31558036897933,0.0790435935088567,0.0790435935088567,19,-2,-2
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,bytetrack,H,cost_h,None,73.21346242508068,0.36883356385430943,0.36883356385430943,64.31558036897933,0.0790435935088567,0.0790435935088567,19,-2,-2
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,bytetrack,H+V,cost_h_full_reassign,H,73.21346242508068,0.36883356385430943,0.0,64.31558036897933,0.0790435935088567,0.0,19,-2,0
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,bytetrack,P-G,path_g,None,73.21346242508068,0.36883356385430943,0.36883356385430943,64.31558036897933,0.0790435935088567,0.0790435935088567,19,-2,-2
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,bytetrack,P-G+V,path_g_full_reassign,P-G,73.21346242508068,0.36883356385430943,0.0,64.31558036897933,0.0790435935088567,0.0,19,-2,0
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,deepocsort,None,no_refinement,None,78.8020589611605,0.0,0.0,81.10885122683683,0.0,0.0,1,0,0
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,deepocsort,v1,ace_v1,None,78.8020589611605,0.0,0.0,81.10885122683683,0.0,0.0,1,0,0
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,deepocsort,H,cost_h,None,78.8020589611605,0.0,0.0,81.10885122683683,0.0,0.0,1,0,0
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,deepocsort,H+V,cost_h_full_reassign,H,78.8020589611605,0.0,0.0,81.10885122683683,0.0,0.0,1,0,0
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,deepocsort,P-G,path_g,None,78.8020589611605,0.0,0.0,81.10885122683683,0.0,0.0,1,0,0
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,deepocsort,P-G+V,path_g_full_reassign,P-G,78.8020589611605,0.0,0.0,81.10885122683683,0.0,0.0,1,0,0
MMOT,test,official_detector,exposed exploratory retest,official detector,data23-1,ocsort,None,no_refinement,None,71.253534401508,0.0,0.0,67.35116333788825,0.0,0.0,27,0,0
