protocol,family,sequence,tracker,table4_method,d16_method,table4_IDF1,d16_IDF1,d16_minus_table4_IDF1,table4_AssA,d16_AssA,d16_minus_table4_AssA,table4_IDSW,d16_IDSW,d16_minus_table4_IDSW,table4_reconstructed_accepted_edges,table4_stored_accepted_edges,table4_reconstruction_count_matches,d16_reconstructed_accepted_edges,d16_stored_accepted_edges,d16_reconstruction_count_matches
oracle_aabb,confirmation38,data39-6,bytetrack,geometry_reid_greedy_guard,path_g,59.87451449058858,56.46847923513594,-3.406035255452643,53.9184944105706,52.813889479061224,-1.1046049315093782,123,147,24,93,93,True,80,80,True
oracle_aabb,confirmation38,data39-6,ocsort,geometry_reid_greedy_guard,path_g,55.95585848750406,55.89094449853943,-0.06491398896462641,64.80977984850075,64.73501110739636,-0.07476874110439269,29,31,2,34,34,True,33,33,True
oracle_aabb,confirmation38,data39-6,deepocsort,geometry_reid_greedy_guard,path_g,91.65168250706395,91.65168250706395,0.0,86.93958876176315,86.93958876176315,0.0,9,9,0,4,4,True,4,4,True
oracle_aabb,confirmation38,data40-3,bytetrack,geometry_reid_greedy_guard,path_g,57.23830734966593,56.347438752783965,-0.8908685968819654,65.72740497354904,64.51062253173102,-1.216782441818026,12,15,3,9,9,True,8,8,True
oracle_aabb,confirmation38,data40-3,ocsort,geometry_reid_greedy_guard,path_g,49.8812351543943,49.8812351543943,0.0,68.29864662626619,68.29864662626619,0.0,4,4,0,28,28,True,28,28,True
oracle_aabb,confirmation38,data40-3,deepocsort,geometry_reid_greedy_guard,path_g,65.70841889117042,65.70841889117042,0.0,74.66612302220702,74.66612302220702,0.0,6,6,0,21,21,True,21,21,True
oracle_aabb,confirmation38,data40-4,bytetrack,geometry_reid_greedy_guard,path_g,12.699386503067483,12.392638036809817,-0.30674846625766605,9.2082290307459,9.045452747023111,-0.1627762837227884,276,281,5,171,171,True,146,146,True
oracle_aabb,confirmation38,data40-4,ocsort,geometry_reid_greedy_guard,path_g,13.515312916111851,13.648468708388814,0.13315579227696261,21.239262071510044,20.71987495667668,-0.5193871148333642,55,48,-7,125,125,True,126,126,True
oracle_aabb,confirmation38,data40-4,deepocsort,geometry_reid_greedy_guard,path_g,95.6179775280899,95.6179775280899,0.0,93.4057576805705,93.4057576805705,0.0,3,3,0,3,3,True,3,3,True
oracle_aabb,confirmation38,data40-5,bytetrack,geometry_reid_greedy_guard,path_g,74.75583512663466,74.49097831484853,-0.26485681178613163,71.52517691678786,71.35775801333074,-0.16741890345711852,94,118,24,91,91,True,76,76,True
oracle_aabb,confirmation38,data40-5,ocsort,geometry_reid_greedy_guard,path_g,68.16901408450704,68.16901408450704,0.0,77.24260028511783,77.24260028511783,0.0,35,35,0,28,28,True,28,28,True
oracle_aabb,confirmation38,data40-5,deepocsort,geometry_reid_greedy_guard,path_g,88.85206387466104,88.85206387466104,0.0,89.1805347298345,89.1805347298345,0.0,25,25,0,22,22,True,22,22,True
oracle_aabb,confirmation38,data41-1,bytetrack,geometry_reid_greedy_guard,path_g,50.39370078740157,50.39370078740157,0.0,49.9259943603308,49.9259943603308,0.0,14,14,0,1,1,True,1,1,True
oracle_aabb,confirmation38,data41-1,ocsort,geometry_reid_greedy_guard,path_g,38.21656050955414,39.490445859872615,1.2738853503184728,51.067069261893714,52.97130278993023,1.9042335280365137,6,6,0,14,14,True,13,13,True
oracle_aabb,confirmation38,data41-1,deepocsort,geometry_reid_greedy_guard,path_g,54.400000000000006,54.400000000000006,0.0,81.99194360336483,81.99194360336483,0.0,1,1,0,9,9,True,9,9,True
oracle_aabb,confirmation38,data42-1,bytetrack,geometry_reid_greedy_guard,path_g,69.2971639950678,69.06816980799718,-0.2289941870706258,60.47812547406487,60.42174186174086,-0.05638361232400513,259,265,6,81,81,True,78,78,True
oracle_aabb,confirmation38,data42-1,ocsort,geometry_reid_greedy_guard,path_g,61.16477001051926,61.24127378789328,0.0765037773740147,61.729386079082616,62.15751046428978,0.42812438520716256,128,131,3,64,64,True,59,59,True
oracle_aabb,confirmation38,data42-1,deepocsort,geometry_reid_greedy_guard,path_g,69.47406146402653,69.93996953677986,0.46590807275332224,69.47601998147806,69.80117536779052,0.3251553863124599,102,103,1,56,56,True,54,54,True
