dataset,split,protocol,data_role,input,tracker,method,internal_method,parent_method,sequence_count,sequences,aggregation,IDF1,delta_IDF1_vs_None,delta_IDF1_vs_parent,AssA,delta_AssA_vs_None,delta_AssA_vs_parent,IDSW,delta_IDSW_vs_None,delta_IDSW_vs_parent
MMOT,test,official_detector,exposed exploratory retest,official detector,deepocsort,P-G+V,path_g_full_reassign,P-G,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,64.22153214510105,1.1363756217566214,0.04945244965887362,67.97958238303374,0.9752788732864246,0.023228123524396977,989,-381,26
MMOT,test,official_detector,exposed exploratory retest,official detector,deepocsort,v1,ace_v1,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,64.08300884293615,0.99785231959172,0.99785231959172,67.83676799973769,0.8324644899903604,0.8324644899903604,1046,-324,-324
MMOT,test,official_detector,exposed exploratory retest,official detector,ocsort,H,cost_h,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,38.74189746024475,2.2801601710090793,2.2801601710090793,49.96778136252241,2.347772723926157,2.347772723926157,2668,-1595,-1595
MMOT,test,official_detector,exposed exploratory retest,official detector,ocsort,H+V,cost_h_full_reassign,H,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,38.59344463308479,2.1317073438491247,-0.14845282715995428,49.78855124979584,2.1685426111995842,-0.17923011272657285,2805,-1458,137
MMOT,test,official_detector,exposed exploratory retest,official detector,ocsort,None,no_refinement,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,36.46173728923567,0.0,0.0,47.62000863859625,0.0,0.0,4263,0,0
MMOT,test,official_detector,exposed exploratory retest,official detector,ocsort,P-G,path_g,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,38.62502581362055,2.1632885243848796,2.1632885243848796,49.85468066069997,2.234672022103718,2.234672022103718,2729,-1534,-1534
MMOT,test,official_detector,exposed exploratory retest,official detector,ocsort,P-G+V,path_g_full_reassign,P-G,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,38.58179565795121,2.1200583687155374,-0.043230155669342504,49.77799091738015,2.1579822787838965,-0.07668974331982191,2814,-1449,85
MMOT,test,official_detector,exposed exploratory retest,official detector,ocsort,v1,ace_v1,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,38.08522975758765,1.6234924683519756,1.6234924683519756,49.24032648950324,1.6203178509069869,1.6203178509069869,3204,-1059,-1059
MMOT,test,oracle_aabb,exposed exploratory retest,oracle AABB,bytetrack,H,cost_h,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,50.78353107074298,3.3460572693755366,3.3460572693755366,46.904686752703626,2.214826687638266,2.214826687638266,16462,-3594,-3594
MMOT,test,oracle_aabb,exposed exploratory retest,oracle AABB,bytetrack,H+V,cost_h_full_reassign,H,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,50.45202141442305,3.0145476130556115,-0.33150965631992513,46.74433514751429,2.054475082448934,-0.16035160518933175,16636,-3420,174
MMOT,test,oracle_aabb,exposed exploratory retest,oracle AABB,bytetrack,None,no_refinement,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,47.43747380136744,0.0,0.0,44.68986006506537,0.0,0.0,20056,0,0
