protocol,family,sequence,tracker,base_solver,base_method,reassignment_method,tau_a,tau_m,audit_label,base_edges,postfilter_edges,reassigned_edges,base_correct_rejected_by_verifier,base_false_removed_by_verifier,base_unresolved_rejected_by_verifier,reassignment_added_correct,reassignment_added_false,reassignment_added_unresolved,reassignment_dropped_postfilter_correct,reassignment_dropped_postfilter_false,reassignment_dropped_postfilter_unresolved,stored_H_postfilter_exact
official_detector,confirmation38,data37-1,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,175,154,157,0,0,21,0,0,3,0,0,0,N/A
official_detector,confirmation38,data37-10,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,63,55,56,0,0,8,0,0,2,0,0,1,True
official_detector,confirmation38,data37-10,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,62,55,55,0,0,7,0,0,0,0,0,0,N/A
official_detector,confirmation38,data37-10,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,14,13,13,0,0,1,0,0,0,0,0,0,True
official_detector,confirmation38,data37-10,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,14,13,13,0,0,1,0,0,0,0,0,0,N/A
official_detector,confirmation38,data37-10,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,22,21,21,0,0,1,0,0,0,0,0,0,True
official_detector,confirmation38,data37-10,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,22,21,21,0,0,1,0,0,0,0,0,0,N/A
official_detector,confirmation38,data37-11,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,162,131,139,0,0,31,0,0,13,0,0,5,True
official_detector,confirmation38,data37-11,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,158,138,139,0,0,20,0,0,1,0,0,0,N/A
official_detector,confirmation38,data37-11,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,23,22,22,0,0,1,0,0,0,0,0,0,True
official_detector,confirmation38,data37-11,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,23,22,22,0,0,1,0,0,0,0,0,0,N/A
