adapter_input_detections,class_name,dataset,descriptor_eligible_output_boxes_iou_ge_0_9,descriptor_eligible_track_ids,duplicate_frame_identity_count,evaluated_gt_boxes,evaluated_prediction_boxes,family,frames_with_gt,released_frames,saved_output,saved_output_sha256,score_gate_admitted_detections,sequence,tracker,tracker_output_boxes,tracker_output_track_ids,tracker_runtime_seconds,valid_gt_boxes,zero_gt_frames
70,truck,MMOT,65,2,0,70,65,data30,68,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/truck/ocsort.jsonl.gz,54b672cad329cffeb06ba1167f0bd919144bbbc35f975b92ea0d6022f5c0cd8b,70,data30-10,ocsort,65,2,0.030307755805552006,70,0
57,tricycle,MMOT,4,2,0,57,47,data30,57,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/tricycle/bytetrack.jsonl.gz,90c65b52b14be334e8091ae36a69d3d8fb8d4aedfba228911f71c41d0a540246,57,data30-10,bytetrack,47,4,0.028888758271932602,57,11
57,tricycle,MMOT,15,7,0,57,15,data30,57,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/tricycle/ocsort.jsonl.gz,a455c1f5bb0fd8d8b8c8a99083145d46966b50ef8cb18c9da08860612c1ba9ba,57,data30-10,ocsort,15,7,0.04974960349500179,57,11
454,awning-bike,MMOT,28,25,0,454,217,data30,68,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/awning-bike/bytetrack.jsonl.gz,ffd10a88509024fc1887a8cf38a7baf6682ce47d5ebffd29aa7d4a786c291b2f,454,data30-10,bytetrack,217,71,0.11026616673916578,454,0
454,awning-bike,MMOT,84,42,0,454,84,data30,68,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/awning-bike/ocsort.jsonl.gz,3e601e2592a7d875d0e92f9f6482b99dbdec0fc020558edb0b5dc82228cfaa26,454,data30-10,ocsort,84,42,0.2750911684706807,454,0
1829,car,MMOT,378,109,0,1829,1632,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/car/bytetrack.jsonl.gz,728017617e2bb04c2273af8f0591d8764ca05be785cbf0fa6acbc8ef6a2bc297,1829,data30-2,bytetrack,1632,147,0.26910100504755974,1829,0
1829,car,MMOT,1010,129,0,1829,1010,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/car/ocsort.jsonl.gz,2a51edcf1c4e45efbad3d6e114f8414b12abe43d20486851da94b9166c9cd022,1829,data30-2,ocsort,1010,129,0.5144787458702922,1829,0
256,bike,MMOT,30,18,0,256,117,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/bike/bytetrack.jsonl.gz,6c0f3adeb1bd1d5a77895ff2df3097c481fdb954c814819f8145096505fb820e,256,data30-2,bytetrack,117,38,0.06536729913204908,256,0
256,bike,MMOT,35,24,0,256,35,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/bike/ocsort.jsonl.gz,481013010c03d9c86556fb69ff0c3c6a619a27d549bbe4bfa1fafca1dc75ccb9,256,data30-2,ocsort,35,24,0.14693696610629559,256,0
1801,pedestrian,MMOT,62,54,0,1801,247,data30,50,50,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-2/pedestrian/bytetrack.jsonl.gz,3dcada80cc6fc55adb5fe09d5553f58aa483c7e165c7f9b0d6fdf38d6d5b0796,1801,data30-2,bytetrack,247,156,0.24207783304154873,1801,0
