absolute_difference,metric,new_method,passed,protocol,rerun_value,stored_method,stored_value,tracker
0.0,accepted_correct,no_refinement,True,oracle_aabb,0,no_refinement,0,deepocsort
0.0,accepted_false,no_refinement,True,oracle_aabb,0,no_refinement,0,deepocsort
0.0,accepted_unknown,no_refinement,True,oracle_aabb,0,no_refinement,0,deepocsort
0.0,eligible_source_tracklets,no_refinement,True,oracle_aabb,3619,no_refinement,3619,deepocsort
0.0,HOTA,ace_v1,True,oracle_aabb,82.59626253428775,com3d_reciprocal_guard,82.59626253428775,deepocsort
0.0,AssA,ace_v1,True,oracle_aabb,84.53797796291823,com3d_reciprocal_guard,84.53797796291823,deepocsort
0.0,DetA,ace_v1,True,oracle_aabb,81.59961443625225,com3d_reciprocal_guard,81.59961443625225,deepocsort
0.0,IDF1,ace_v1,True,oracle_aabb,83.67010459435745,com3d_reciprocal_guard,83.67010459435745,deepocsort
0.0,MOTA,ace_v1,True,oracle_aabb,80.80441868738946,com3d_reciprocal_guard,80.80441868738946,deepocsort
0.0,IDSW,ace_v1,True,oracle_aabb,1377,com3d_reciprocal_guard,1377,deepocsort
0.0,FP,ace_v1,True,oracle_aabb,0,com3d_reciprocal_guard,0,deepocsort
0.0,FN,ace_v1,True,oracle_aabb,22130,com3d_reciprocal_guard,22130,deepocsort
0.0,TP,ace_v1,True,oracle_aabb,174064,com3d_reciprocal_guard,174064,deepocsort
0.0,Frag,ace_v1,True,oracle_aabb,2155,com3d_reciprocal_guard,2155,deepocsort
0.0,accepted_correct,ace_v1,True,oracle_aabb,575,com3d_reciprocal_guard,575,deepocsort
0.0,accepted_false,ace_v1,True,oracle_aabb,371,com3d_reciprocal_guard,371,deepocsort
0.0,accepted_unknown,ace_v1,True,oracle_aabb,0,com3d_reciprocal_guard,0,deepocsort
0.0,eligible_source_tracklets,ace_v1,True,oracle_aabb,3619,com3d_reciprocal_guard,3619,deepocsort
0.0,HOTA,cost_r,True,oracle_aabb,82.82981516437705,controlled_cost_reciprocal,82.82981516437705,deepocsort
0.0,AssA,cost_r,True,oracle_aabb,84.98931450535052,controlled_cost_reciprocal,84.98931450535052,deepocsort
0.0,DetA,cost_r,True,oracle_aabb,81.60083851569897,controlled_cost_reciprocal,81.60083851569897,deepocsort
0.0,IDF1,cost_r,True,oracle_aabb,84.01956192515274,controlled_cost_reciprocal,84.01956192515274,deepocsort
0.0,MOTA,cost_r,True,oracle_aabb,80.8509038736609,controlled_cost_reciprocal,80.8509038736609,deepocsort
0.0,IDSW,cost_r,True,oracle_aabb,1242,controlled_cost_reciprocal,1242,deepocsort
0.0,FP,cost_r,True,oracle_aabb,0,controlled_cost_reciprocal,0,deepocsort
0.0,FN,cost_r,True,oracle_aabb,22130,controlled_cost_reciprocal,22130,deepocsort
0.0,TP,cost_r,True,oracle_aabb,174064,controlled_cost_reciprocal,174064,deepocsort
0.0,Frag,cost_r,True,oracle_aabb,2155,controlled_cost_reciprocal,2155,deepocsort
0.0,accepted_correct,cost_r,True,oracle_aabb,704,controlled_cost_reciprocal,704,deepocsort
0.0,accepted_false,cost_r,True,oracle_aabb,287,controlled_cost_reciprocal,287,deepocsort
0.0,accepted_unknown,cost_r,True,oracle_aabb,0,controlled_cost_reciprocal,0,deepocsort
0.0,eligible_source_tracklets,cost_r,True,oracle_aabb,3619,controlled_cost_reciprocal,3619,deepocsort
0.0,HOTA,cost_g_legacy,True,oracle_aabb,82.79092364194439,controlled_cost_greedy,82.79092364194439,deepocsort
0.0,AssA,cost_g_legacy,True,oracle_aabb,84.92117463909231,controlled_cost_greedy,84.92117463909231,deepocsort
0.0,DetA,cost_g_legacy,True,oracle_aabb,81.59777481616376,controlled_cost_greedy,81.59777481616376,deepocsort
0.0,IDF1,cost_g_legacy,True,oracle_aabb,83.96232010864976,controlled_cost_greedy,83.96232010864976,deepocsort
0.0,MOTA,cost_g_legacy,True,oracle_aabb,80.88851283929907,controlled_cost_greedy,80.88851283929907,deepocsort
0.0,IDSW,cost_g_legacy,True,oracle_aabb,1185,controlled_cost_greedy,1185,deepocsort
0.0,FP,cost_g_legacy,True,oracle_aabb,0,controlled_cost_greedy,0,deepocsort
0.0,FN,cost_g_legacy,True,oracle_aabb,22130,controlled_cost_greedy,22130,deepocsort
0.0,TP,cost_g_legacy,True,oracle_aabb,174064,controlled_cost_greedy,174064,deepocsort
0.0,Frag,cost_g_legacy,True,oracle_aabb,2155,controlled_cost_greedy,2155,deepocsort
0.0,accepted_correct,cost_g_legacy,True,oracle_aabb,747,controlled_cost_greedy,747,deepocsort
0.0,accepted_false,cost_g_legacy,True,oracle_aabb,448,controlled_cost_greedy,448,deepocsort
0.0,accepted_unknown,cost_g_legacy,True,oracle_aabb,0,controlled_cost_greedy,0,deepocsort
0.0,eligible_source_tracklets,cost_g_legacy,True,oracle_aabb,3619,controlled_cost_greedy,3619,deepocsort
0.0,HOTA,cost_h,True,oracle_aabb,82.79455875979602,geometry_reid_hungarian,82.79455875979602,deepocsort
0.0,AssA,cost_h,True,oracle_aabb,84.92829381404248,geometry_reid_hungarian,84.92829381404248,deepocsort
0.0,DetA,cost_h,True,oracle_aabb,81.60026881092,geometry_reid_hungarian,81.60026881092,deepocsort
0.0,IDF1,cost_h,True,oracle_aabb,84.00150888501939,geometry_reid_hungarian,84.00150888501939,deepocsort
0.0,MOTA,cost_h,True,oracle_aabb,80.89268790675872,geometry_reid_hungarian,80.89268790675872,deepocsort
0.0,IDSW,cost_h,True,oracle_aabb,1174,geometry_reid_hungarian,1174,deepocsort
0.0,FP,cost_h,True,oracle_aabb,0,geometry_reid_hungarian,0,deepocsort
0.0,FN,cost_h,True,oracle_aabb,22130,geometry_reid_hungarian,22130,deepocsort
0.0,TP,cost_h,True,oracle_aabb,174064,geometry_reid_hungarian,174064,deepocsort
0.0,Frag,cost_h,True,oracle_aabb,2155,geometry_reid_hungarian,2155,deepocsort
0.0,accepted_correct,cost_h,True,oracle_aabb,765,geometry_reid_hungarian,765,deepocsort
0.0,accepted_false,cost_h,True,oracle_aabb,418,geometry_reid_hungarian,418,deepocsort
0.0,accepted_unknown,cost_h,True,oracle_aabb,0,geometry_reid_hungarian,0,deepocsort
0.0,eligible_source_tracklets,cost_h,True,oracle_aabb,3619,geometry_reid_hungarian,3619,deepocsort
0.0,HOTA,no_refinement,True,official_detector,34.64553531169412,no_refinement,34.64553531169412,bytetrack
0.0,AssA,no_refinement,True,official_detector,42.28840199140618,no_refinement,42.28840199140618,bytetrack
0.0,DetA,no_refinement,True,official_detector,30.95868140253957,no_refinement,30.95868140253957,bytetrack
0.0,IDF1,no_refinement,True,official_detector,38.316340731805155,no_refinement,38.316340731805155,bytetrack
0.0,MOTA,no_refinement,True,official_detector,28.830907660110967,no_refinement,28.830907660110967,bytetrack
0.0,IDSW,no_refinement,True,official_detector,10324,no_refinement,10324,bytetrack
0.0,FP,no_refinement,True,official_detector,12727,no_refinement,12727,bytetrack
0.0,FN,no_refinement,True,official_detector,104376,no_refinement,104376,bytetrack
