dataset,protocol,data_role,tracker,contrast,description,baseline,treatment,sequence_count,tracker_count,mean_delta_HOTA_pp,mean_delta_AssA_pp,mean_delta_IDF1_pp,IDF1_bootstrap_95_low_pp,IDF1_bootstrap_95_high_pp,improved_sequences,tied_sequences,worsened_sequences,baseline_IDSW_total,treatment_IDSW_total,delta_IDSW_total,baseline_accepted_links,treatment_accepted_links,baseline_conditional_link_error,treatment_conditional_link_error,baseline_auditable_fraction,treatment_auditable_fraction,bootstrap_seed,bootstrap_resamples,fresh_confirmation
MMOT,official_detector,exposed_exploratory_retest,all_trackers_sequence_mean,greedy_full_verifier,P-G (controlled-cost path-constrained greedy) + same full verifier/reassignment minus P-G,path_g,path_g_full_reassign,50,3,-0.008295081547690281,-0.028311190094564006,-0.020323526493398324,-0.0725603099292667,0.0324806409485548,14,15,21,12063,12267,204,7269,6284,0.30434782608695654,0.29069767441860467,0.0727747970835053,0.08211330362826226,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,bytetrack,greedy_full_verifier,P-G (controlled-cost path-constrained greedy) + same full verifier/reassignment minus P-G,path_g,path_g_full_reassign,50,1,-0.02132571561975313,-0.031471950488267064,-0.0671928734697261,-0.13386196382060928,-0.0189967532323355,5,26,19,8371,8464,93,3866,3338,0.26490066225165565,0.26,0.039058458354888775,0.04493708807669263,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,deepocsort,greedy_full_verifier,P-G (controlled-cost path-constrained greedy) + same full verifier/reassignment minus P-G,path_g,path_g_full_reassign,50,1,0.008373593983465853,0.023228123524396977,0.04945244965887362,-0.04342682470038189,0.1536608267799034,15,27,8,963,989,26,850,658,0.29850746268656714,0.27692307692307694,0.07882352941176471,0.09878419452887538,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,ocsort,greedy_full_verifier,P-G (controlled-cost path-constrained greedy) + same full verifier/reassignment minus P-G,path_g,path_g_full_reassign,50,1,-0.011933123006783565,-0.07668974331982191,-0.043230155669342504,-0.13155080004198055,0.04425752485524573,5,25,20,2729,2814,85,2553,2288,0.3247588424437299,0.3089700996677741,0.1218174696435566,0.13155594405594406,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,all_trackers_sequence_mean,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,50,3,-0.020033339286458264,-0.06654777889938977,-0.06644832059660011,-0.14419159273472285,0.008075362724266394,13,13,24,12030,12255,225,7569,6310,0.31992687385740404,0.2909441233140655,0.07226846346941472,0.08225039619651348,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,bytetrack,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,50,1,-0.02703179980064111,-0.04814300003461331,-0.1008289470313613,-0.1821052560367601,-0.02776007319714858,6,25,19,8405,8466,61,4058,3357,0.2875816993464052,0.26666666666666666,0.037703302119270574,0.044682752457551385,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,deepocsort,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,50,1,0.010929159179239534,0.0277297760630168,0.04993681240151524,-0.062397982996394374,0.18152774693818902,15,25,10,957,984,27,887,661,0.3235294117647059,0.27692307692307694,0.07666290868094701,0.09833585476550681,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,ocsort,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,50,1,-0.043997377237973215,-0.1792301127265728,-0.14845282715995428,-0.3010637133033727,-0.025796086102244497,6,20,24,2668,2805,137,2624,2292,0.3343558282208589,0.3059210526315789,0.12423780487804878,0.13263525305410123,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,all_trackers_sequence_mean,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,50,3,-0.002881940752816111,-0.01398910414854239,-0.019388762446334102,-0.06370579211247333,0.021529667117527643,15,21,14,12030,12018,-12,7569,6940,0.31992687385740404,0.2946768060836502,0.07226846346941472,0.07579250720461095,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,bytetrack,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,50,1,-0.014489190303135242,-0.024475490624079582,-0.049564845735440066,-0.1287296497245084,0.020133126100908616,9,27,14,8405,8373,-32,4058,3630,0.2875816993464052,0.26174496644295303,0.037703302119270574,0.04104683195592287,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,deepocsort,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,50,1,0.011250053851396017,0.023877575603919468,0.029008905114902603,-0.04019662423040695,0.10830160701594704,5,39,6,957,959,2,887,817,0.3235294117647059,0.2878787878787879,0.07666290868094701,0.08078335373317014,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,ocsort,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,50,1,-0.005406685806709106,-0.04136939742546705,-0.037610346718464846,-0.08799312069791641,0.0007313793624211111,7,32,11,2668,2686,18,2624,2493,0.3343558282208589,0.31189710610932475,0.12423780487804878,0.1247492980344966,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,all_trackers_sequence_mean,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,50,3,0.006203351055412452,0.016528607921254188,0.028174447873132925,-0.008051362292080496,0.07059784931478104,18,22,10,12030,12054,24,7569,7383,0.31992687385740404,0.31365313653136534,0.07226846346941472,0.07341189218474875,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,bytetrack,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,50,1,0.0016692877694586272,0.004521390843457382,0.01100867111415674,-0.0027509266869908283,0.029826109382118913,5,41,4,8405,8414,9,4058,4028,0.2875816993464052,0.2875816993464052,0.037703302119270574,0.03798411122144985,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,deepocsort,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,50,1,0.006292151830630175,0.017962136736925344,0.051646416768531864,-0.04680734461371702,0.16567268668318244,14,27,9,957,972,15,887,742,0.3235294117647059,0.3235294117647059,0.07666290868094701,0.09164420485175202,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,ocsort,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,50,1,0.010648613566148555,0.027102296183379834,0.021868255736710154,-0.007524734103216946,0.075,2,45,3,2668,2668,0,2624,2613,0.3343558282208589,0.32398753894080995,0.12423780487804878,0.12284730195177956,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,all_trackers_sequence_mean,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,50,3,-0.027353775012155905,-0.09164676480249723,-0.08641403427146029,-0.16126962236889694,-0.01243671412139739,9,12,29,12030,12404,374,7569,5912,0.31992687385740404,0.2851485148514851,0.07226846346941472,0.08541948579161028,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,bytetrack,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,50,1,-0.04237072636957203,-0.07705322374788297,-0.1539480498256466,-0.2412860329882538,-0.07621966666678816,5,22,23,8405,8577,172,4058,3095,0.2875816993464052,0.25874125874125875,0.037703302119270574,0.04620355411954766,20260915,10000,False
MMOT,official_detector,exposed_exploratory_retest,deepocsort,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,50,1,0.014354935321206668,0.03545823439534523,0.05649947436631628,-0.05669587074313058,0.18618726956977252,14,25,11,957,997,40,887,626,0.3235294117647059,0.2698412698412698,0.07666290868094701,0.10063897763578275,20260915,10000,False
