family,sequence,tracker,no_refinement_idf1,com3d_ace_idf1,delta_idf1_pp,outcome
confirmation38,data39-2,deepocsort,91.92263936291239,91.92263936291239,0.0,tied
confirmation38,data39-3,deepocsort,44.992450931051835,49.823855057876195,4.83140412682436,improved
confirmation38,data39-6,deepocsort,71.46443514644352,73.13807531380753,1.673640167364013,improved
confirmation38,data40-3,deepocsort,42.152466367713004,45.51569506726457,3.36322869955157,improved
confirmation38,data40-4,deepocsort,28.58004220681338,28.640337654507086,0.06029544769370432,improved
confirmation38,data40-5,deepocsort,75.08574992204554,78.6404739632055,3.5547240411599574,improved
confirmation38,data41-1,deepocsort,43.23374340949033,45.342706502636204,2.1089630931458743,improved
confirmation38,data42-1,deepocsort,61.44132768106792,62.32524578334987,0.8839181022819531,improved
confirmation38,data42-2,deepocsort,69.29088277858176,69.98552821997106,0.694645441389298,improved
confirmation38,data42-3,deepocsort,86.14483047300125,86.73084972791963,0.5860192549183836,improved
confirmation38,data46-11,deepocsort,57.278797996661105,57.42904841402338,0.15025041736227251,improved
confirmation38,data46-12,deepocsort,67.94499810773307,67.7431563012489,-0.20184180648416827,worsened
confirmation38,data47-1,deepocsort,87.52556237218813,87.52556237218813,0.0,tied
confirmation38,data47-2,deepocsort,65.76842105263158,66.02105263157895,0.25263157894737276,improved
confirmation38,data47-3,deepocsort,64.5527685754851,65.16800757217227,0.6152389966871681,improved
confirmation38,data47-4,deepocsort,73.44877344877345,73.59307359307358,0.14430014430013216,improved
confirmation38,data48-1,deepocsort,67.54966887417218,67.3289183222958,-0.22075055187637815,worsened
confirmation38,data49-2,deepocsort,66.76347794518061,67.27173715737884,0.5082592121982259,improved
