atomic_context,class_name,controlled_cost,controlled_cost_in_rank,controlled_cost_out_rank,controlled_greedy_accepted,controlled_reciprocal_accepted,controlled_reciprocal_proposed,cosine_distance,destination_choice_count_across_methods,destination_conflict,destination_gt_purity,destination_majority_gt_identity,earlier,endpoint_center_distance_pixels,endpoint_top_left_distance_pixels,enters_fixed_candidate_graph,family,gap,geometry_first_in_rank,geometry_first_out_rank,historical_reciprocal_accepted,historical_reciprocal_proposed,later,partial_hungarian_selected,passes_appearance_gate,passes_geometry_gate,posthoc_gt_correctness,protocol,selected_methods,selection_count,sequence,source_choice_count_across_methods,source_conflict,source_gt_purity,source_majority_gt_identity,tracker
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.4135632432665619,2,1,False,False,False,0.09000688791275024,2,True,1.0,7,190,46.236672354978495,48.539380571046046,True,legacy12,3,2,4,False,False,265,True,True,True,false,oracle_aabb,Cost-H,1,data28-1,3,True,1.0,22,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.6911425832926543,2,5,True,False,False,0.2773170471191406,1,False,1.0,3,190,48.53040093811219,60.202863439755305,True,legacy12,8,2,5,False,False,280,False,True,True,false,oracle_aabb,Cost-G,1,data28-1,3,True,1.0,22,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.4684256460607579,1,2,True,False,False,0.1815909743309021,3,True,0.42857142857142855,49,190,10.998552972693016,10.806457895309185,True,legacy12,18,2,1,False,False,353,False,True,True,false,oracle_aabb,Cost-G,1,data28-1,3,True,1.0,22,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.43493890174310423,1,2,True,False,False,0.1655866503715515,1,False,0.6666666666666666,18,198,37.74069955282775,37.24412335169559,True,legacy12,2,1,3,False,False,252,True,True,True,unknown,oracle_aabb,Cost-G;Cost-H,2,data28-1,2,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.40153260440639676,2,1,False,False,False,0.09878027439117432,2,True,0.4,1,198,15.143162755340171,16.385811254427512,True,legacy12,18,1,1,True,True,350,False,True,True,unknown,oracle_aabb,ACE-v1,1,data28-1,2,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.41405985821620456,1,3,False,False,False,0.15079689025878906,1,False,0.5,11,204,37.00711339156243,36.651383987268005,True,legacy12,2,1,4,False,False,254,True,True,True,correct,oracle_aabb,Cost-H,1,data28-1,2,True,1.0,11,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.39852321807747354,2,1,True,False,False,0.10454034805297852,2,True,,,204,13.590600506403737,14.73310864825319,True,legacy12,18,1,1,True,True,343,False,True,True,unknown,oracle_aabb,ACE-v1;Cost-G,2,data28-1,2,True,1.0,11,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.4876744049090851,1,2,True,False,False,0.22933220863342285,2,True,,,254,32.922038560538184,33.97403687550954,True,legacy12,3,2,1,False,False,348,True,True,True,unknown,oracle_aabb,Cost-G;Cost-H,2,data28-1,1,False,0.5,11,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.48110426640743015,2,1,True,False,False,0.15014731884002686,3,True,1.0,36,258,44.52186216988772,44.27657313406136,True,legacy12,4,3,2,False,False,349,False,True,True,false,oracle_aabb,Cost-G,1,data28-1,1,False,0.75,23,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.37820620640285507,1,2,True,False,False,0.011745810508728027,1,False,1.0,19,262,54.75062546320428,54.35285399535719,True,legacy12,3,1,3,False,False,286,False,True,True,correct,oracle_aabb,Cost-G,1,data28-1,2,True,1.0,19,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.5623539836347146,3,1,False,False,False,0.20933419466018677,3,True,1.0,36,264,30.577138278693656,30.58589477396011,True,legacy12,13,1,1,True,True,349,False,True,True,correct,oracle_aabb,ACE-v1,1,data28-1,1,False,1.0,36,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.4685550192066159,2,1,True,False,False,0.20794522762298584,2,True,0.6666666666666666,48,265,30.021619771544216,30.163130107341985,True,legacy12,5,3,2,False,False,367,False,True,True,false,oracle_aabb,Cost-G,1,data28-1,2,True,1.0,7,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.5480780998069374,1,2,False,False,False,0.2734681963920593,2,True,1.0,43,265,25.63038379626714,25.89841758374365,True,legacy12,8,2,1,False,False,370,True,True,True,false,oracle_aabb,Cost-H,1,data28-1,2,True,1.0,7,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.5831212122260383,2,1,True,False,False,0.19323980808258057,1,False,1.0,7,294,53.454368535489884,59.774198802453576,True,legacy12,4,3,1,False,False,399,True,True,True,false,oracle_aabb,Cost-G;Cost-H,2,data28-1,1,False,0.6666666666666666,9,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.3780412186918732,1,1,True,True,True,0.11559438705444336,2,True,,,295,35.684496790844456,36.29681233013932,True,legacy12,3,2,1,False,False,343,True,True,True,unknown,oracle_aabb,Cost-G;Cost-H;Cost-R,3,data28-1,1,False,1.0,11,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.38425778676724304,1,1,True,True,True,0.03645670413970947,2,True,,,296,49.3854723909817,50.765162015361526,True,legacy12,4,5,1,False,False,344,True,True,True,unknown,oracle_aabb,Cost-G;Cost-H;Cost-R,3,data28-1,1,False,1.0,13,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.37642676327160185,1,1,True,True,True,0.02899158000946045,1,False,,,297,49.46195960474656,50.970531890902876,True,legacy12,4,2,1,False,False,347,True,True,True,unknown,oracle_aabb,Cost-G;Cost-H;Cost-R,3,data28-1,1,False,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.44076634769727724,1,1,True,True,True,0.10405611991882324,1,False,1.0,13,341,49.98282538493316,49.33496419036389,True,legacy12,2,5,2,False,False,429,True,True,True,correct,oracle_aabb,Cost-G;Cost-H;Cost-R,3,data28-1,1,False,0.75,13,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.6342989580597781,2,1,False,False,False,0.17099213600158691,3,True,1.0,49,344,54.97743647957244,54.949718247451415,True,legacy12,10,5,1,False,False,378,True,True,True,unknown,oracle_aabb,Cost-H,1,data28-1,1,False,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.42640311017940985,1,1,True,True,True,0.23201024532318115,2,True,0.6666666666666666,48,354,24.154634870352744,22.716289080411194,True,legacy12,2,2,1,False,False,367,True,True,True,unknown,oracle_aabb,Cost-G;Cost-H;Cost-R,3,data28-1,1,False,,,bytetrack
