a_only,a_only_correct,a_only_false,analysis,auditable_fraction,b_only,b_only_correct,b_only_false,conditional_precision,correct,edge_count,false,family,intersection,jaccard,method_a,method_b,note,posthoc_gt_correctness,protocol,tracker,union,unknown
97,2,6,pairwise_edge_selection,,117,3,1,,,,,legacy12,388,0.6445182724252492,ACE-v1,Cost-R,,,official_detector,bytetrack,602,
142,,,pairwise_component_co_membership,,206,,,,,,,legacy12,542,0.6089887640449438,ACE-v1,Cost-R,,,official_detector,bytetrack,890,
69,1,5,pairwise_edge_selection,,214,4,8,,,,,legacy12,416,0.5951359084406295,ACE-v1,Cost-G,,,official_detector,bytetrack,699,
97,,,pairwise_component_co_membership,,603,,,,,,,legacy12,587,0.4560994560994561,ACE-v1,Cost-G,,,official_detector,bytetrack,1287,
105,2,6,pairwise_edge_selection,,214,3,7,,,,,legacy12,380,0.5436337625178826,ACE-v1,Cost-H,,,official_detector,bytetrack,699,
146,,,pairwise_component_co_membership,,475,,,,,,,legacy12,538,0.4641932700603969,ACE-v1,Cost-H,,,official_detector,bytetrack,1159,
6,0,0,pairwise_edge_selection,,131,2,8,,,,,legacy12,499,0.7845911949685535,Cost-R,Cost-G,,,official_detector,bytetrack,636,
14,,,pairwise_component_co_membership,,456,,,,,,,legacy12,734,0.6096345514950167,Cost-R,Cost-G,,,official_detector,bytetrack,1204,
39,1,2,pairwise_edge_selection,,128,1,8,,,,,legacy12,466,0.7361769352290679,Cost-R,Cost-H,,,official_detector,bytetrack,633,
81,,,pairwise_component_co_membership,,346,,,,,,,legacy12,667,0.6096892138939671,Cost-R,Cost-H,,,official_detector,bytetrack,1094,
125,2,6,pairwise_edge_selection,,89,0,4,,,,,legacy12,505,0.7023643949930459,Cost-G,Cost-H,,,official_detector,bytetrack,719,
387,,,pairwise_component_co_membership,,210,,,,,,,legacy12,803,0.5735714285714286,Cost-G,Cost-H,,,official_detector,bytetrack,1400,
,,,selection_signature,,,,,,,1,,legacy12,,,ACE-v1,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,4,,legacy12,,,ACE-v1,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,53,,legacy12,,,ACE-v1,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1,,legacy12,,,ACE-v1+Cost-G,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1,,legacy12,,,ACE-v1+Cost-G,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,21,,legacy12,,,ACE-v1+Cost-G,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,9,,legacy12,,,ACE-v1+Cost-G+Cost-H,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,18,,legacy12,,,ACE-v1+Cost-G+Cost-H+Cost-R,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,13,,legacy12,,,ACE-v1+Cost-G+Cost-H+Cost-R,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,329,,legacy12,,,ACE-v1+Cost-G+Cost-H+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1,,legacy12,,,ACE-v1+Cost-G+Cost-R,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,23,,legacy12,,,ACE-v1+Cost-G+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1,,legacy12,,,ACE-v1+Cost-H,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,6,,legacy12,,,ACE-v1+Cost-H,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,4,,legacy12,,,ACE-v1+Cost-H+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,3,,legacy12,,,Cost-G,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,60,,legacy12,,,Cost-G,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1,,legacy12,,,Cost-G+Cost-H,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,4,,legacy12,,,Cost-G+Cost-H,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,31,,legacy12,,,Cost-G+Cost-H,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,2,,legacy12,,,Cost-G+Cost-H+Cost-R,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,98,,legacy12,,,Cost-G+Cost-H+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1,,legacy12,,,Cost-G+Cost-R,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1,,legacy12,,,Cost-G+Cost-R,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,13,,legacy12,,,Cost-G+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,3,,legacy12,,,Cost-H,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,73,,legacy12,,,Cost-H,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,2,,legacy12,,,Cost-H+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,oracle_union_upper_bound_not_deployable,,,,,,,24,,legacy12,,,any_linker_correct_edge,N/A,Post-hoc GT upper bound only; never scored as a deployable method.,,official_detector,bytetrack,,
,,,method_summary,0.08412483039348712,,,,0.6774193548387096,42,737,20,all_sequences,,,ACE-v1,N/A,,,official_detector,deepocsort,,675
,,,method_summary,0.08776595744680851,,,,0.7121212121212122,47,752,19,all_sequences,,,Cost-R,N/A,,,official_detector,deepocsort,,686
,,,method_summary,0.07469342251950947,,,,0.7014925373134329,47,897,20,all_sequences,,,Cost-G,N/A,,,official_detector,deepocsort,,830
,,,method_summary,0.07666290868094701,,,,0.6764705882352942,46,887,22,all_sequences,,,Cost-H,N/A,,,official_detector,deepocsort,,819
155,0,5,pairwise_edge_selection,,170,5,4,,,,,all_sequences,582,0.6416758544652701,ACE-v1,Cost-R,,,official_detector,deepocsort,907,
236,,,pairwise_component_co_membership,,280,,,,,,,all_sequences,727,0.584875301689461,ACE-v1,Cost-R,,,official_detector,deepocsort,1243,
125,0,5,pairwise_edge_selection,,285,5,5,,,,,all_sequences,612,0.598825831702544,ACE-v1,Cost-G,,,official_detector,deepocsort,1022,
180,,,pairwise_component_co_membership,,643,,,,,,,all_sequences,783,0.487546699875467,ACE-v1,Cost-G,,,official_detector,deepocsort,1606,
139,0,5,pairwise_edge_selection,,289,4,7,,,,,all_sequences,598,0.5828460038986355,ACE-v1,Cost-H,,,official_detector,deepocsort,1026,
185,,,pairwise_component_co_membership,,556,,,,,,,all_sequences,778,0.5121790651744569,ACE-v1,Cost-H,,,official_detector,deepocsort,1519,
3,0,0,pairwise_edge_selection,,148,0,1,,,,,all_sequences,749,0.8322222222222222,Cost-R,Cost-G,,,official_detector,deepocsort,900,
7,,,pairwise_component_co_membership,,426,,,,,,,all_sequences,1000,0.6978367062107467,Cost-R,Cost-G,,,official_detector,deepocsort,1433,
48,1,1,pairwise_edge_selection,,183,0,4,,,,,all_sequences,704,0.7529411764705882,Cost-R,Cost-H,,,official_detector,deepocsort,935,
78,,,pairwise_component_co_membership,,405,,,,,,,all_sequences,929,0.6579320113314447,Cost-R,Cost-H,,,official_detector,deepocsort,1412,
117,1,2,pairwise_edge_selection,,107,0,4,,,,,all_sequences,780,0.7768924302788844,Cost-G,Cost-H,,,official_detector,deepocsort,1004,
334,,,pairwise_component_co_membership,,242,,,,,,,all_sequences,1092,0.6546762589928058,Cost-G,Cost-H,,,official_detector,deepocsort,1668,
