AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_links,accepted_unknown,all_box_multisets_preserved,component_rejections,duplicate_frame_identity_count,method,sequence_tracker_units,solver_seconds,split,tau_a,tau_m,tie_ambiguous,tie_excluded_correct,tie_excluded_false
95.73918512474873,96.26877734879501,658,4,40,95.98777122594116,98.46392053776712,19,98.7171852313091,53852,20,6,29,3,True,0,0,path_g_full_reassign,8,1.7236601617187262,development,0.05,2.0,0,20,6
95.65534678615788,96.26877734879501,658,4,40,95.9457589221558,98.52546401209496,19,98.7165417918653,53852,20,9,32,3,True,0,0,path_g_full_reassign,8,1.7279327400028706,development,0.05,4.0,0,20,9
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,path_g_full_reassign,8,1.747104523703456,development,0.05,8.0,0,20,10
95.43675282018094,96.26877734879501,658,4,40,95.83352404673877,98.17780237037111,23,98.71083360529283,53852,17,0,18,1,True,0,0,path_g_full_reassign,8,1.5684121483936906,development,0.1,1.0,0,17,0
95.73918512474873,96.26877734879501,658,4,40,95.98777122594116,98.46392053776712,19,98.7171852313091,53852,20,6,29,3,True,0,0,path_g_full_reassign,8,1.566002362407744,development,0.1,2.0,0,20,6
95.65534678615788,96.26877734879501,658,4,40,95.9457589221558,98.52546401209496,19,98.7165417918653,53852,20,9,32,3,True,0,0,path_g_full_reassign,8,1.5665239281952381,development,0.1,4.0,0,20,9
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,path_g_full_reassign,8,1.5607561115175486,development,0.1,8.0,0,20,10
86.9497286442938,91.92831921887458,307,1,9,89.28637862086805,93.4014964555517,10,96.7706545207979,9569,0,11,12,1,True,0,0,ace_v1,8,0.921242481097579,held_out,N/A,N/A,0,0,11
87.18948907987156,91.92831921887458,307,1,9,89.40794231191214,93.49897509350386,8,96.78987050849967,9569,2,9,12,1,True,6,0,cost_g_legacy,8,0.9285781467333436,held_out,N/A,N/A,0,2,9
85.91568534130606,91.92831921887458,307,1,9,88.75523560625928,92.50350518944248,10,96.7706545207979,9569,0,13,14,1,True,0,0,cost_h,8,0.9351018872112036,held_out,N/A,N/A,0,0,13
86.54430335632969,91.92831921887458,307,1,9,89.0752985100863,92.94607009896254,10,96.7706545207979,9569,0,10,11,1,True,0,0,cost_h_full_postfilter,8,0.9428608464077115,held_out,0.1,4.0,0,0,10
87.18948907987156,91.92831921887458,307,1,9,89.40794231191214,93.49897509350386,8,96.78987050849967,9569,2,9,12,1,True,0,0,cost_h_full_reassign,8,0.9414910934865475,held_out,0.1,4.0,0,2,9
87.18948907987156,91.92831921887458,307,1,9,89.40794231191214,93.49897509350386,8,96.78987050849967,9569,2,9,12,1,True,0,0,cost_h_margin_reassign,8,0.9413741640746593,held_out,0.1,4.0,0,2,9
87.18948907987156,91.92831921887458,307,1,9,89.40794231191214,93.49897509350386,8,96.78987050849967,9569,2,9,12,1,True,0,0,cost_h_motion_reassign,8,0.9451957950368524,held_out,0.1,4.0,0,2,9
86.53506181880606,91.92831921887458,307,1,9,89.07576678594032,93.01707108091534,9,96.7802625146488,9569,1,11,13,1,True,0,0,cost_h_soft_information,8,0.9437461802735925,held_out,N/A,N/A,0,1,11
87.18948907987156,91.92831921887458,307,1,9,89.40794231191214,93.49897509350386,8,96.78987050849967,9569,2,9,12,1,True,0,0,cost_r,8,0.9274368062615395,held_out,N/A,N/A,0,2,9
90.59980737030183,91.92831921887458,307,1,9,91.18043024969657,96.08222046569672,11,96.76104652694703,9569,0,0,0,0,True,0,0,no_refinement,8,0.0,held_out,N/A,N/A,0,0,0
