AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_coverage,accepted_false,accepted_unknown,aggregation,all_box_multisets_preserved,auditable_fraction,conditional_error,duplicate_frame_identity_count,eligible_source_tracklets,method,predicted_boxes,protocol,scope,sequence_count,tie_ambiguous,tie_excluded_correct,tie_excluded_false,tracker,valid_gt_boxes
46.90625825359373,46.243630342962554,73372,310,13455,45.54794101486691,50.77597104193981,16485,47.94041409532097,122822,414,0.5360235255677177,469,5679,equal_sequence_mean_metrics_total_counts,True,0.13456263334349283,0.5311438278595696,0,12242,cost_h_motion_reassign,123132,oracle_aabb,all_50_sequences,50,192,398,293,bytetrack,196194
46.930371833636485,46.2439952285786,73372,310,13455,45.56347510364704,50.787888884036086,16389,47.94740649118938,122822,421,0.5238523117137722,449,5543,equal_sequence_mean_metrics_total_counts,True,0.13566193669109622,0.5160919540229885,0,12242,cost_h_soft_information,123132,oracle_aabb,all_50_sequences,50,195,402,273,bytetrack,196194
46.686733824410105,46.24604555811039,73372,310,13455,45.40956883157397,50.3000083290276,16710,47.79142783936156,122822,369,0.39830093122038884,281,4226,equal_sequence_mean_metrics_total_counts,True,0.1333059885151764,0.4323076923076923,0,12242,cost_r,123132,oracle_aabb,all_50_sequences,50,97,358,195,bytetrack,196194
44.68986006506537,46.25335948027518,73372,310,13455,44.1960817531848,47.43747380136743,20056,46.124629032135296,122822,0,0.0,0,0,equal_sequence_mean_metrics_total_counts,True,N/A,N/A,0,12242,no_refinement,123132,oracle_aabb,all_50_sequences,50,0,0,0,bytetrack,196194
46.844072515745054,46.24391920114274,73372,310,13455,45.50773425226832,50.65907090269872,16437,47.92686554913497,122822,399,0.5103741218755106,431,5418,equal_sequence_mean_metrics_total_counts,True,0.13284250960307298,0.519277108433735,0,12242,path_g,123132,oracle_aabb,all_50_sequences,50,169,383,278,bytetrack,196194
46.71418226743457,46.24513549122633,73372,310,13455,45.42344163763112,50.39133309429861,16650,47.82431297626947,122822,381,0.42607417088710997,353,4482,equal_sequence_mean_metrics_total_counts,True,0.14072085889570551,0.48092643051771117,0,12242,path_g_full_reassign,123132,oracle_aabb,all_50_sequences,50,138,367,229,bytetrack,196194
84.53797796291823,81.59961443625225,22130,0,2155,82.59626253428775,83.67010459435745,1377,80.80441868738946,174064,575,0.2613981762917933,371,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.39217758985200846,0,3619,ace_v1,174064,oracle_aabb,all_50_sequences,50,7,574,365,deepocsort,196194
84.92117463909231,81.59777481616376,22130,0,2155,82.79092364194439,83.96232010864976,1185,80.88851283929907,174064,747,0.33020171318043656,448,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.37489539748953976,0,3619,cost_g_legacy,174064,oracle_aabb,all_50_sequences,50,5,746,444,deepocsort,196194
84.92829381404248,81.60026881092,22130,0,2155,82.79455875979602,84.00150888501939,1174,80.89268790675872,174064,765,0.32688588007736946,418,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.3533389687235841,0,3619,cost_h,174064,oracle_aabb,all_50_sequences,50,7,764,412,deepocsort,196194
84.91496967988066,81.60100042060022,22130,0,2155,82.7914894657818,83.95387796391313,1275,80.84080812840918,174064,668,0.24316109422492402,212,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.2409090909090909,0,3619,cost_h_full_postfilter,174064,oracle_aabb,all_50_sequences,50,5,667,208,deepocsort,196194
84.9160144397639,81.60075332553373,22130,0,2155,82.79266729988674,83.95874403855463,1257,80.84443439138589,174064,685,0.2597402597402597,255,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.2712765957446808,0,3619,cost_h_full_reassign,174064,oracle_aabb,all_50_sequences,50,4,684,252,deepocsort,196194
84.98764956843566,81.60136573693266,22130,0,2155,82.82766913124551,84.04095577482909,1195,80.8792528336859,174064,748,0.305332964907433,357,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.3230769230769231,0,3619,cost_h_margin_reassign,174064,oracle_aabb,all_50_sequences,50,6,747,352,deepocsort,196194
84.90769273787066,81.60071906423023,22130,0,2155,82.78721948005969,83.98153826098049,1214,80.87685748545334,174064,728,0.2848853274385189,303,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.2938894277400582,0,3619,cost_h_motion_reassign,174064,oracle_aabb,all_50_sequences,50,6,727,298,deepocsort,196194
84.92496386517189,81.60057854559417,22130,0,2155,82.79451118151523,83.99942949810963,1185,80.8801072170258,174064,756,0.32108317214700194,406,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.3493975903614458,0,3619,cost_h_soft_information,174064,oracle_aabb,all_50_sequences,50,7,755,400,deepocsort,196194
84.98931450535052,81.60083851569897,22130,0,2155,82.82981516437705,84.01956192515274,1242,80.8509038736609,174064,704,0.27383255042829513,287,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.289606458123108,0,3619,cost_r,174064,oracle_aabb,all_50_sequences,50,5,703,283,deepocsort,196194
82.06275997135361,81.60219151010966,22130,0,2155,81.32105008043304,81.48609392004403,1962,80.27084974644677,174064,0,0.0,0,0,equal_sequence_mean_metrics_total_counts,True,N/A,N/A,0,3619,no_refinement,174064,oracle_aabb,all_50_sequences,50,0,0,0,deepocsort,196194
84.93026637547955,81.6008385212558,22130,0,2155,82.79725108146084,84.00386903368747,1198,80.87789399228699,174064,744,0.3177673390439348,406,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.35304347826086957,0,3619,path_g,174064,oracle_aabb,all_50_sequences,50,6,743,401,deepocsort,196194
84.91097150315811,81.60075332553373,22130,0,2155,82.79011064066539,83.95518259183393,1260,80.84420704696079,174064,683,0.25863498203923735,253,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.2702991452991453,0,3619,path_g_full_reassign,174064,oracle_aabb,all_50_sequences,50,4,682,250,deepocsort,196194
53.63882045073404,40.925425846227526,105736,0,3875,45.91677836089798,45.25381478226733,4441,38.54715113826074,90458,1661,0.3792030810250333,899,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.351171875,0,6751,ace_v1,90458,oracle_aabb,all_50_sequences,50,124,1633,803,ocsort,196194
